identifiant,metier,competences
146wljh,administrateur linux,travail en équipe . sens de le communication . sens de le organisation
146xvjt,administrateur linux,"actualiser le système de information en fonction de évolution . attribuer un ressource logique et matériel de réseau . diagnostiquer le nature et le origine de incident et mettre en oeuvre le mesure correctif . gérer le droit de accès de utilisateur . mettre en place le procédure technique de exploitation , de utilisation et de sécurité de équipement informatique . améliorer un système de information . analyser le performance de un système de information . infogérance télémaintenance . installer un équipement informatique . règle de installation informatique . système de messagerie . réactivité . sens de le communication . sens de le organisation"
146ztdm,administrateur linux,"actualiser le système de information en fonction de évolution . améliorer un système de information . analyser le performance de un système de information . diagnostiquer le nature et le origine de incident et mettre en oeuvre le mesure correctif . mettre en place le procédure technique de exploitation , de utilisation et de sécurité de équipement informatique . capacité de adaptation . force de proposition . autonomie"
147fjmt,administrateur linux,"actualiser le système de information en fonction de évolution . améliorer un système de information . analyser le performance de un système de information . diagnostiquer le nature et le origine de incident et mettre en oeuvre le mesure correctif . mettre en place le procédure technique de exploitation , de utilisation et de sécurité de équipement informatique"
147gjfs,administrateur linux,"actualiser le système de information en fonction de évolution . améliorer un système de information . analyser le performance de un système de information . diagnostiquer le nature et le origine de incident et mettre en oeuvre le mesure correctif . mettre en place le procédure technique de exploitation , de utilisation et de sécurité de équipement informatique"
147hkjv,administrateur linux,"actualiser le système de information en fonction de évolution . améliorer un système de information . analyser le performance de un système de information . mettre en place le procédure technique de exploitation , de utilisation et de sécurité de équipement informatique . diagnostiquer le nature et le origine de incident et mettre en oeuvre le mesure correctif . force de proposition . autonomie . rigueur"
147hsfl,administrateur linux,"actualiser le système de information en fonction de évolution . améliorer un système de information . analyser le performance de un système de information . diagnostiquer le nature et le origine de incident et mettre en oeuvre le mesure correctif . mettre en place le procédure technique de exploitation , de utilisation et de sécurité de équipement informatique . force de proposition . sens de le organisation . rigueur"
147hsfm,administrateur linux,"actualiser le système de information en fonction de évolution . améliorer un système de information . analyser le performance de un système de information . diagnostiquer le nature et le origine de incident et mettre en oeuvre le mesure correctif . mettre en place le procédure technique de exploitation , de utilisation et de sécurité de équipement informatique . sens de le communication . sens de le organisation . rigueur"
147hvhh,administrateur linux,"actualiser le système de information en fonction de évolution . améliorer un système de information . analyser le performance de un système de information . diagnostiquer le nature et le origine de incident et mettre en oeuvre le mesure correctif . mettre en place le procédure technique de exploitation , de utilisation et de sécurité de équipement informatique"
147kfjl,administrateur linux,"actualiser le système de information en fonction de évolution . améliorer un système de information . analyser le performance de un système de information . diagnostiquer le nature et le origine de incident et mettre en oeuvre le mesure correctif . mettre en place le procédure technique de exploitation , de utilisation et de sécurité de équipement informatique"
145mwrv,administrateur systèmes et réseaux informatique,"actualiser le système de information en fonction de évolution . améliorer un système de information . analyser le performance de un système de information . diagnostiquer le nature et le origine de incident et mettre en oeuvre le mesure correctif . mettre en place le procédure technique de exploitation , de utilisation et de sécurité de équipement informatique . capacité de adaptation . travail en équipe . sens de le communication"
146ldmc,administrateur systèmes et réseaux informatique,travail en équipe . sens de le communication . autonomie
146mgbk,administrateur systèmes et réseaux informatique,"actualiser le système de information en fonction de évolution . améliorer un système de information . analyser le performance de un système de information . diagnostiquer le nature et le origine de incident et mettre en oeuvre le mesure correctif . mettre en place le procédure technique de exploitation , de utilisation et de sécurité de équipement informatique . gestion de stress . autonomie . rigueur"
146nkns,administrateur systèmes et réseaux informatique,"actualiser le système de information en fonction de évolution . améliorer un système de information . analyser le performance de un système de information . diagnostiquer le nature et le origine de incident et mettre en oeuvre le mesure correctif . mettre en place le procédure technique de exploitation , de utilisation et de sécurité de équipement informatique"
147fmvs,administrateur systèmes et réseaux informatique,"conseiller de équipe de développement , de production et de utilisateur . installer un équipement informatique . principe de intégration de matériel et de logiciel . réaliser le intervention de télémaintenance de équipement de utilisateur . système réseau lan , man , wan . autonomie . sens de le organisation . rigueur"
147fwyl,administrateur systèmes et réseaux informatique,"actualiser le système de information en fonction de évolution . améliorer un système de information . analyser le performance de un système de information . conseiller de équipe de développement , de production et de utilisateur . diagnostiquer le nature et le origine de incident et mettre en oeuvre le mesure correctif . mettre en place le procédure technique de exploitation , de utilisation et de sécurité de équipement informatique . traiter le information collecter , classer et mettre à jour . administrer un système de information si"
144tlyy,administrateur systèmes et réseaux informatique,actualiser le système de information en fonction de évolution . améliorer un système de information . analyser le performance de un système de information . diagnostiquer le nature et le origine de incident et mettre en oeuvre le mesure correctif . travail en équipe . sens de le communication . autonomie
141cgbk,administrateur systèmes et réseaux informatique,"actualiser le système de information en fonction de évolution . améliorer un système de information . analyser le performance de un système de information . diagnostiquer le nature et le origine de incident et mettre en oeuvre le mesure correctif . mettre en place le procédure technique de exploitation , de utilisation et de sécurité de équipement informatique"
145qcmy,administrateur systèmes et réseaux informatique,"actualiser le système de information en fonction de évolution . améliorer un système de information . analyser le performance de un système de information . diagnostiquer le nature et le origine de incident et mettre en oeuvre le mesure correctif . mettre en place le procédure technique de exploitation , de utilisation et de sécurité de équipement informatique"
