identifiant,metier,competences
147gfdt,chef de projet informatique,"analyser et définir le besoin de le entreprise , un utilisateur en matière de organisation et de système de information et de télécommunication . concevoir le schéma directeur à partir de orientation fixer par le direction et de besoin de service utilisateur et superviser le modalité de mise en oeuvre . coordonner le différent étape de un projet . piloter un projet . procéder au choix de réalisation , de traitement en interne ou par sous-traitance et en contrôler le conformité de réalisation"
143fbty,chef de projet informatique,"analyser et définir le besoin de le entreprise , un utilisateur en matière de organisation et de système de information et de télécommunication . concevoir le schéma directeur à partir de orientation fixer par le direction et de besoin de service utilisateur et superviser le modalité de mise en oeuvre . coordonner le différent étape de un projet . piloter un projet . procéder au choix de réalisation , de traitement en interne ou par sous-traitance et en contrôler le conformité de réalisation . capacité de adaptation . sens de le organisation . rigueur"
144xpfc,chef de projet informatique,analyser le besoin de client . concevoir et développer le programme et application informatique . déterminer un mesure correctif . rédiger un spécification technique de besoin stb . établir un cahier de charge
146fkyj,chef de projet informatique,travail en équipe . sens de le communication . rigueur
146ggqq,chef de projet informatique,"analyser et définir le besoin de le entreprise , un utilisateur en matière de organisation et de système de information et de télécommunication . concevoir le schéma directeur à partir de orientation fixer par le direction et de besoin de service utilisateur et superviser le modalité de mise en oeuvre . coordonner le différent étape de un projet . piloter un projet . procéder au choix de réalisation , de traitement en interne ou par sous-traitance et en contrôler le conformité de réalisation"
146svdn,chef de projet informatique,capacité de adaptation . curiosité . rigueur
146wnfj,chef de projet informatique,anglais professionnel . certification pmp . certification prince2 . curiosité . réactivité . sens de le communication
145qfqw,chef de projet informatique,analyser le besoin de client . concevoir et développer le programme et application informatique . déterminer un mesure correctif . rédiger un spécification technique de besoin stb . établir un cahier de charge
146vyrc,chef de projet informatique,"concevoir le schéma directeur à partir de orientation fixer par le direction et de besoin de service utilisateur et superviser le modalité de mise en oeuvre . coordonner le différent étape de un projet . piloter un projet . procéder au choix de réalisation , de traitement en interne ou par sous-traitance et en contrôler le conformité de réalisation . capacité de adaptation . réactivité . sens de le organisation"
143tlpy,chef de projet informatique,"analyser et définir le besoin de le entreprise , un utilisateur en matière de organisation et de système de information et de télécommunication . concevoir le schéma directeur à partir de orientation fixer par le direction et de besoin de service utilisateur et superviser le modalité de mise en oeuvre . coordonner le différent étape de un projet . piloter un projet . procéder au choix de réalisation , de traitement en interne ou par sous-traitance et en contrôler le conformité de réalisation"
143zgrc,chef de projet informatique,"analyser et définir le besoin de le entreprise , un utilisateur en matière de organisation et de système de information et de télécommunication . concevoir le schéma directeur à partir de orientation fixer par le direction et de besoin de service utilisateur et superviser le modalité de mise en oeuvre . coordonner le différent étape de un projet . piloter un projet . procéder au choix de réalisation , de traitement en interne ou par sous-traitance et en contrôler le conformité de réalisation"
144rlwd,chef de projet informatique,analyser le besoin de client . concevoir et développer le programme et application informatique . déterminer le phase et procédure de test technique et fonctionnel de programme et application informatique . rédiger un spécification technique de besoin stb . établir un cahier de charge
144yplx,chef de projet informatique,"analyser et définir le besoin de le entreprise , un utilisateur en matière de organisation et de système de information et de télécommunication . concevoir le schéma directeur à partir de orientation fixer par le direction et de besoin de service utilisateur et superviser le modalité de mise en oeuvre . coordonner le différent étape de un projet . piloter un projet . procéder au choix de réalisation , de traitement en interne ou par sous-traitance et en contrôler le conformité de réalisation . capacité de adaptation . sens de le organisation"
145cnrb,chef de projet informatique,gestion de projet . méthode agile . technique de planification . travail en équipe . sens de le organisation . rigueur
145rzpw,chef de projet informatique,"analyser et définir le besoin de le entreprise , un utilisateur en matière de organisation et de système de information et de télécommunication . concevoir le schéma directeur à partir de orientation fixer par le direction et de besoin de service utilisateur et superviser le modalité de mise en oeuvre . coordonner le différent étape de un projet . piloter un projet . procéder au choix de réalisation , de traitement en interne ou par sous-traitance et en contrôler le conformité de réalisation . travail en équipe . autonomie . sens de le organisation"
145svst,chef de projet informatique,force de proposition . capacité à fédérer . autonomie
145xgdd,chef de projet informatique,"analyser et définir le besoin de le entreprise , un utilisateur en matière de organisation et de système de information et de télécommunication . concevoir le schéma directeur à partir de orientation fixer par le direction et de besoin de service utilisateur et superviser le modalité de mise en oeuvre . coordonner le différent étape de un projet . piloter un projet . procéder au choix de réalisation , de traitement en interne ou par sous-traitance et en contrôler le conformité de réalisation"
145xgfm,chef de projet informatique,"analyser et définir le besoin de le entreprise , un utilisateur en matière de organisation et de système de information et de télécommunication . concevoir le schéma directeur à partir de orientation fixer par le direction et de besoin de service utilisateur et superviser le modalité de mise en oeuvre . coordonner le différent étape de un projet . piloter un projet . procéder au choix de réalisation , de traitement en interne ou par sous-traitance et en contrôler le conformité de réalisation"
145xzfd,chef de projet informatique,"analyser et définir le besoin de le entreprise , un utilisateur en matière de organisation et de système de information et de télécommunication . concevoir le schéma directeur à partir de orientation fixer par le direction et de besoin de service utilisateur et superviser le modalité de mise en oeuvre . coordonner le différent étape de un projet . piloter un projet . procéder au choix de réalisation , de traitement en interne ou par sous-traitance et en contrôler le conformité de réalisation . pack office . force de proposition . autonomie . rigueur"
145zdcf,chef de projet informatique,"analyser et définir le besoin de le entreprise , un utilisateur en matière de organisation et de système de information et de télécommunication . concevoir le schéma directeur à partir de orientation fixer par le direction et de besoin de service utilisateur et superviser le modalité de mise en oeuvre . coordonner le différent étape de un projet . piloter un projet . procéder au choix de réalisation , de traitement en interne ou par sous-traitance et en contrôler le conformité de réalisation . travail en équipe . sens de le organisation . rigueur"
145zdtq,chef de projet informatique,"analyser et définir le besoin de le entreprise , un utilisateur en matière de organisation et de système de information et de télécommunication . concevoir le schéma directeur à partir de orientation fixer par le direction et de besoin de service utilisateur et superviser le modalité de mise en oeuvre . coordonner le différent étape de un projet . piloter un projet . procéder au choix de réalisation , de traitement en interne ou par sous-traitance et en contrôler le conformité de réalisation . travail en équipe . sens de le organisation . rigueur"
146fdbv,chef de projet informatique,"analyser et définir le besoin de le entreprise , un utilisateur en matière de organisation et de système de information et de télécommunication . concevoir le schéma directeur à partir de orientation fixer par le direction et de besoin de service utilisateur et superviser le modalité de mise en oeuvre . coordonner le différent étape de un projet . piloter un projet . procéder au choix de réalisation , de traitement en interne ou par sous-traitance et en contrôler le conformité de réalisation . travail en équipe . sens de le organisation . rigueur"
146fjjg,chef de projet informatique,"analyser et définir le besoin de le entreprise , un utilisateur en matière de organisation et de système de information et de télécommunication . concevoir le schéma directeur à partir de orientation fixer par le direction et de besoin de service utilisateur et superviser le modalité de mise en oeuvre . coordonner le différent étape de un projet . piloter un projet . procéder au choix de réalisation , de traitement en interne ou par sous-traitance et en contrôler le conformité de réalisation"
146fjjm,chef de projet informatique,analyser le besoin de client . concevoir et développer le programme et application informatique . déterminer un mesure correctif . rédiger un spécification technique de besoin stb . établir un cahier de charge
146fmmr,chef de projet informatique,"analyser et définir le besoin de le entreprise , un utilisateur en matière de organisation et de système de information et de télécommunication . concevoir le schéma directeur à partir de orientation fixer par le direction et de besoin de service utilisateur et superviser le modalité de mise en oeuvre . coordonner le différent étape de un projet . piloter un projet . procéder au choix de réalisation , de traitement en interne ou par sous-traitance et en contrôler le conformité de réalisation"
146hszj,chef de projet informatique,"analyser et définir le besoin de le entreprise , un utilisateur en matière de organisation et de système de information et de télécommunication . concevoir le schéma directeur à partir de orientation fixer par le direction et de besoin de service utilisateur et superviser le modalité de mise en oeuvre . coordonner le différent étape de un projet . définir et mettre en oeuvre un gestion de risque sécurité , confidentialité , intégrité , fiabilité . un système de information . piloter un projet . procéder au choix de réalisation , de traitement en interne ou par sous-traitance et en contrôler le conformité de réalisation . superviser un secteur sur projet de sécurité , qualité . sens de le communication . capacité de décision . sens de le organisation"
146hypd,chef de projet informatique,analyser le besoin de client . concevoir et développer le programme et application informatique . déterminer le phase et procédure de test technique et fonctionnel de programme et application informatique . développer un application en lien avec un base de donnée . gestion de projet . langage informatique java . langage informatique sql . langage de programmation informatique . méthode agile . planifier le étape de un projet . réaliser un étude et développement informatique . rédiger un spécification technique de besoin stb . technologie de le accessibilité numérique . établir un cahier de charge . réactivité . sens de le communication . rigueur
146jcmz,chef de projet informatique,"analyser et définir le besoin de le entreprise , un utilisateur en matière de organisation et de système de information et de télécommunication . concevoir le schéma directeur à partir de orientation fixer par le direction et de besoin de service utilisateur et superviser le modalité de mise en oeuvre . coordonner le différent étape de un projet . piloter un projet . procéder au choix de réalisation , de traitement en interne ou par sous-traitance et en contrôler le conformité de réalisation"
146jszp,chef de projet informatique,"analyser et définir le besoin de le entreprise , un utilisateur en matière de organisation et de système de information et de télécommunication . concevoir le schéma directeur à partir de orientation fixer par le direction et de besoin de service utilisateur et superviser le modalité de mise en oeuvre . coordonner le différent étape de un projet . piloter un projet . procéder au choix de réalisation , de traitement en interne ou par sous-traitance et en contrôler le conformité de réalisation . capacité de adaptation . autonomie . sens de le organisation"
146lhhq,chef de projet informatique,"analyser et définir le besoin de le entreprise , un utilisateur en matière de organisation et de système de information et de télécommunication . concevoir le schéma directeur à partir de orientation fixer par le direction et de besoin de service utilisateur et superviser le modalité de mise en oeuvre . coordonner le différent étape de un projet . piloter un projet . procéder au choix de réalisation , de traitement en interne ou par sous-traitance et en contrôler le conformité de réalisation . travail en équipe . sens de le organisation . rigueur"
146lkgj,chef de projet informatique,"analyser et définir le besoin de le entreprise , un utilisateur en matière de organisation et de système de information et de télécommunication . concevoir le schéma directeur à partir de orientation fixer par le direction et de besoin de service utilisateur et superviser le modalité de mise en oeuvre . coordonner le différent étape de un projet . piloter un projet . procéder au choix de réalisation , de traitement en interne ou par sous-traitance et en contrôler le conformité de réalisation . réactivité . autonomie . rigueur"
146mdqn,chef de projet informatique,"analyser et définir le besoin de le entreprise , un utilisateur en matière de organisation et de système de information et de télécommunication . concevoir le schéma directeur à partir de orientation fixer par le direction et de besoin de service utilisateur et superviser le modalité de mise en oeuvre . coordonner le différent étape de un projet . piloter un projet . procéder au choix de réalisation , de traitement en interne ou par sous-traitance et en contrôler le conformité de réalisation"
146mmjv,chef de projet informatique,"algorithmique . capacité à travailler en équipe . concevoir et développer le programme et application informatique . connaissance langage de développement . connaissance principal norme edi edifact , vda . fort sensibilité technique informatique . gestion de projet . gestion de priorité . intervenir en informatique de gestion . mettre en place un cartographie de flux edi . planifier le étape de un projet . sens de le organisation . analyser un problème technique . analyser le besoin de client . animer un réunion . déterminer un mesure correctif . développer un application en lien avec un base de donnée . informatique de gestion . langage informatique wlangage . méthode agile . programmation informatique . présenter un produit finir à son commanditaire . réaliser un support technique . réaliser un étude et développement informatique . rédiger un spécification technique de besoin stb . traiter le information collecter , classer et mettre à jour . établir un cahier de charge . travail en équipe . autonomie . rigueur"
146mmks,chef de projet informatique,"algorithmique . capacité à travailler en équipe . concevoir et développer le programme et application informatique . connaissance langage de développement . connaissance principal norme edi edifact , vda . fort sensibilité technique informatique . gestion de projet . gestion de priorité . intervenir en informatique de gestion . mettre en place un cartographie de flux edi . planifier le étape de un projet . sens de le organisation . analyser un problème technique . analyser le besoin de client . animer un réunion . déterminer un mesure correctif . développer un application en lien avec un base de donnée . informatique de gestion . langage informatique wlangage . méthode agile . programmation informatique . présenter un produit finir à son commanditaire . réaliser un support technique . réaliser un étude et développement informatique . rédiger un spécification technique de besoin stb . traiter le information collecter , classer et mettre à jour . établir un cahier de charge . travail en équipe . autonomie . rigueur"
146pkmr,chef de projet informatique,"analyser et définir le besoin de le entreprise , un utilisateur en matière de organisation et de système de information et de télécommunication . concevoir le schéma directeur à partir de orientation fixer par le direction et de besoin de service utilisateur et superviser le modalité de mise en oeuvre . coordonner le différent étape de un projet . piloter un projet . procéder au choix de réalisation , de traitement en interne ou par sous-traitance et en contrôler le conformité de réalisation . force de proposition . autonomie . sens de le organisation"
146pkpg,chef de projet informatique,"analyser et définir le besoin de le entreprise , un utilisateur en matière de organisation et de système de information et de télécommunication . concevoir le schéma directeur à partir de orientation fixer par le direction et de besoin de service utilisateur et superviser le modalité de mise en oeuvre . coordonner le différent étape de un projet . piloter un projet . procéder au choix de réalisation , de traitement en interne ou par sous-traitance et en contrôler le conformité de réalisation . force de proposition . autonomie . sens de le organisation"
146pkrc,chef de projet informatique,"analyser et définir le besoin de le entreprise , un utilisateur en matière de organisation et de système de information et de télécommunication . concevoir le schéma directeur à partir de orientation fixer par le direction et de besoin de service utilisateur et superviser le modalité de mise en oeuvre . coordonner le différent étape de un projet . piloter un projet . procéder au choix de réalisation , de traitement en interne ou par sous-traitance et en contrôler le conformité de réalisation . force de proposition . autonomie . sens de le organisation"
146plhc,chef de projet informatique,"analyser et définir le besoin de le entreprise , un utilisateur en matière de organisation et de système de information et de télécommunication . concevoir le schéma directeur à partir de orientation fixer par le direction et de besoin de service utilisateur et superviser le modalité de mise en oeuvre . coordonner le différent étape de un projet . piloter un projet . procéder au choix de réalisation , de traitement en interne ou par sous-traitance et en contrôler le conformité de réalisation . force de proposition . autonomie . sens de le organisation"
146plll,chef de projet informatique,"analyser et définir le besoin de le entreprise , un utilisateur en matière de organisation et de système de information et de télécommunication . concevoir le schéma directeur à partir de orientation fixer par le direction et de besoin de service utilisateur et superviser le modalité de mise en oeuvre . coordonner le différent étape de un projet . piloter un projet . procéder au choix de réalisation , de traitement en interne ou par sous-traitance et en contrôler le conformité de réalisation . force de proposition . autonomie . sens de le organisation"
146plnc,chef de projet informatique,"analyser et définir le besoin de le entreprise , un utilisateur en matière de organisation et de système de information et de télécommunication . concevoir le schéma directeur à partir de orientation fixer par le direction et de besoin de service utilisateur et superviser le modalité de mise en oeuvre . coordonner le différent étape de un projet . piloter un projet . procéder au choix de réalisation , de traitement en interne ou par sous-traitance et en contrôler le conformité de réalisation . force de proposition . autonomie . sens de le organisation"
146pvcb,chef de projet informatique,algorithmique . concevoir et développer le programme et application informatique . développer un application en lien avec un base de donnée . analyser le besoin de client . gestion de projet . curiosité . autonomie . rigueur
146pyqb,chef de projet informatique,analyser le besoin de client . concevoir et développer le programme et application informatique . déterminer un mesure correctif . rédiger un spécification technique de besoin stb . établir un cahier de charge
146qllt,chef de projet informatique,"analyser et définir le besoin de le entreprise , un utilisateur en matière de organisation et de système de information et de télécommunication . concevoir le schéma directeur à partir de orientation fixer par le direction et de besoin de service utilisateur et superviser le modalité de mise en oeuvre . coordonner le différent étape de un projet . piloter un projet . procéder au choix de réalisation , de traitement en interne ou par sous-traitance et en contrôler le conformité de réalisation . force de proposition . autonomie . rigueur"
146rcgn,chef de projet informatique,analyser le besoin de client . concevoir et développer le programme et application informatique . déterminer un mesure correctif . rédiger un spécification technique de besoin stb . établir un cahier de charge . autonomie . sens de le organisation . rigueur
146rqyw,chef de projet informatique,domaine de le machine spécial . analyser le besoin de client . concevoir et développer le programme et application informatique . déterminer un mesure correctif . rédiger un spécification technique de besoin stb . établir un cahier de charge . developpement de banc de test et moyen de essai . curiosité . travail en équipe . capacité de décision
146vrps,chef de projet informatique,"analyser et définir le besoin de le entreprise , un utilisateur en matière de organisation et de système de information et de télécommunication . concevoir le schéma directeur à partir de orientation fixer par le direction et de besoin de service utilisateur et superviser le modalité de mise en oeuvre . coordonner le différent étape de un projet . piloter un projet . procéder au choix de réalisation , de traitement en interne ou par sous-traitance et en contrôler le conformité de réalisation"
146wxjf,chef de projet informatique,analyser le besoin de client . concevoir et développer le programme et application informatique . déterminer un mesure correctif . rédiger un spécification technique de besoin stb . établir un cahier de charge . travail en équipe . sens de le communication . sens de le organisation
146yrgl,chef de projet informatique,"analyser et définir le besoin de le entreprise , un utilisateur en matière de organisation et de système de information et de télécommunication . concevoir le schéma directeur à partir de orientation fixer par le direction et de besoin de service utilisateur et superviser le modalité de mise en oeuvre . coordonner le différent étape de un projet . piloter un projet . procéder au choix de réalisation , de traitement en interne ou par sous-traitance et en contrôler le conformité de réalisation"
146yzts,chef de projet informatique,analyser le besoin de client . concevoir et développer le programme et application informatique . déterminer le phase et procédure de test technique et fonctionnel de programme et application informatique . rédiger un spécification technique de besoin stb . établir un cahier de charge
146zlhk,chef de projet informatique,"azure et office 365 . réseau couche 2 et 3 switch , vlan , wifi . analyser et définir le besoin de le entreprise , un utilisateur en matière de organisation et de système de information et de télécommunication . concevoir le schéma directeur à partir de orientation fixer par le direction et de besoin de service utilisateur et superviser le modalité de mise en oeuvre . coordonner le différent étape de un projet . piloter un projet . procéder au choix de réalisation , de traitement en interne ou par sous-traitance et en contrôler le conformité de réalisation . powershell . capacité de adaptation . sens de le communication . rigueur"
146zlwf,chef de projet informatique,analyser un problème technique . analyser le besoin de client . concevoir et développer le programme et application informatique . déterminer un mesure correctif . déterminer le phase et procédure de test technique et fonctionnel de programme et application informatique . réaliser un support technique . réaliser un étude et développement informatique . rédiger un spécification technique de besoin stb . établir un cahier de charge
146zzfx,chef de projet informatique,"analyser et définir le besoin de le entreprise , un utilisateur en matière de organisation et de système de information et de télécommunication . concevoir le schéma directeur à partir de orientation fixer par le direction et de besoin de service utilisateur et superviser le modalité de mise en oeuvre . coordonner le différent étape de un projet . piloter un projet . gta . paie . travail en équipe . sens de le communication . autonomie"
147bchj,chef de projet informatique,"connaissance   base de donnée oracle , postgrsql . connaissance   outil vmware , microsoft , linux , mac . connaissance en réseau , téléphonie , sécurité . maitrise de le outil informatique . qualité rédactionnel . analyser le besoin de client . concevoir et développer le programme et application informatique . déterminer le phase et procédure de test technique et fonctionnel de programme et application informatique . rédiger un spécification technique de besoin stb . établir un cahier de charge . capacité de adaptation . autonomie . rigueur"
147cxvp,chef de projet informatique,"analyser et définir le besoin de le entreprise , un utilisateur en matière de organisation et de système de information et de télécommunication . coordonner le différent étape de un projet . piloter un projet . procéder au choix de réalisation , de traitement en interne ou par sous-traitance et en contrôler le conformité de réalisation"
147dktj,chef de projet informatique,"analyser et définir le besoin de le entreprise , un utilisateur en matière de organisation et de système de information et de télécommunication . concevoir le schéma directeur à partir de orientation fixer par le direction et de besoin de service utilisateur et superviser le modalité de mise en oeuvre . coordonner le différent étape de un projet . piloter un projet . procéder au choix de réalisation , de traitement en interne ou par sous-traitance et en contrôler le conformité de réalisation"
147dlby,chef de projet informatique,analyser le besoin de client . concevoir et développer le programme et application informatique . déterminer un mesure correctif . rédiger un spécification technique de besoin stb . établir un cahier de charge . travail en équipe . capacité à fédérer . sens de le organisation
147dptw,chef de projet informatique,analyser le besoin de client . concevoir et développer le programme et application informatique . déterminer un mesure correctif . rédiger un spécification technique de besoin stb . établir un cahier de charge . salondunumériqu
147flxv,chef de projet informatique,"analyser un problème technique . concevoir un outil de aide à le surveillance , à le sécurité ou à le exploitation de équipement informatique . concevoir et développer le programme et application informatique . déterminer le phase et procédure de test technique et fonctionnel de programme et application informatique . informatique industriel . informatique scientifique et technique . langage informatique c C++ . langage informatique python . programmation informatique . réaliser un étude et développement informatique . traiter le information collecter , classer et mettre à jour . déterminer un mesure correctif . réaliser le mise en production de solution logiciel dans un environnement de exploitation"
147fngx,chef de projet informatique,"analyser et définir le besoin de le entreprise , un utilisateur en matière de organisation et de système de information et de télécommunication . concevoir le schéma directeur à partir de orientation fixer par le direction et de besoin de service utilisateur et superviser le modalité de mise en oeuvre . coordonner le différent étape de un projet . piloter un projet . procéder au choix de réalisation , de traitement en interne ou par sous-traitance et en contrôler le conformité de réalisation . sens de le communication . autonomie . rigueur"
147fwgb,chef de projet informatique,configurer le poste de travail à besoin de le utilisateur et effectuer le test de fonctionnement . diagnostiquer à distance un dysfonctionnement informatique matériel ou logiciel . guider le utilisateur pour résoudre le dysfonctionnement ou prendre le contrôle de système à distance . identifier un ressource nécessaire à le résolution de un dysfonctionnement . renseigner le support de suivi de intervention et transmettre le information au service concerner
147gtcw,chef de projet informatique,"analyser et définir le besoin de le entreprise , un utilisateur en matière de organisation et de système de information et de télécommunication . concevoir le schéma directeur à partir de orientation fixer par le direction et de besoin de service utilisateur et superviser le modalité de mise en oeuvre . coordonner le différent étape de un projet . piloter un projet . procéder au choix de réalisation , de traitement en interne ou par sous-traitance et en contrôler le conformité de réalisation"
147gtyz,chef de projet informatique,"analyser et définir le besoin de le entreprise , un utilisateur en matière de organisation et de système de information et de télécommunication . concevoir le schéma directeur à partir de orientation fixer par le direction et de besoin de service utilisateur et superviser le modalité de mise en oeuvre . coordonner le différent étape de un projet . piloter un projet . procéder au choix de réalisation , de traitement en interne ou par sous-traitance et en contrôler le conformité de réalisation"
147hrzm,chef de projet informatique,analyser le besoin de client . concevoir et développer le programme et application informatique . déterminer un mesure correctif . rédiger un spécification technique de besoin stb . établir un cahier de charge
147jtvq,chef de projet informatique,"analyser et définir le besoin de le entreprise , un utilisateur en matière de organisation et de système de information et de télécommunication . concevoir le schéma directeur à partir de orientation fixer par le direction et de besoin de service utilisateur et superviser le modalité de mise en oeuvre . coordonner le différent étape de un projet . piloter un projet . procéder au choix de réalisation , de traitement en interne ou par sous-traitance et en contrôler le conformité de réalisation"
147kfpz,chef de projet informatique,"analyser et définir le besoin de le entreprise , un utilisateur en matière de organisation et de système de information et de télécommunication . concevoir le schéma directeur à partir de orientation fixer par le direction et de besoin de service utilisateur et superviser le modalité de mise en oeuvre . coordonner le différent étape de un projet . piloter un projet . procéder au choix de réalisation , de traitement en interne ou par sous-traitance et en contrôler le conformité de réalisation . force de proposition . travail en équipe . sens de le organisation"
143rqgs,chef de projet informatique,"analyser et définir le besoin de le entreprise , un utilisateur en matière de organisation et de système de information et de télécommunication . concevoir le schéma directeur à partir de orientation fixer par le direction et de besoin de service utilisateur et superviser le modalité de mise en oeuvre . coordonner le différent étape de un projet . piloter un projet . procéder au choix de réalisation , de traitement en interne ou par sous-traitance et en contrôler le conformité de réalisation . force de proposition . sens de le communication . autonomie"
144csvh,chef de projet informatique,analyser le besoin de client . réaliser un prototype de le solution technique pour validation par le donneur de ordre configuration type . rédiger un spécification technique de besoin stb . établir un cahier de charge . concevoir et développer le programme et application informatique . déterminer le phase et procédure de test technique et fonctionnel de programme et application informatique
145tdnv,chef de projet informatique,coordonner le différent étape de un projet . gestion budgétaire . méthode agile . piloter un projet . capacité de adaptation . sens de le organisation . sens de le communication
145znns,chef de projet informatique,"analyser et définir le besoin de le entreprise , un utilisateur en matière de organisation et de système de information et de télécommunication . business object xi . concevoir le schéma directeur à partir de orientation fixer par le direction et de besoin de service utilisateur et superviser le modalité de mise en oeuvre . coordonner le différent étape de un projet . environnement windows et linux . langage : oracle sql ou sql plus ; pl sur sql . oracle et ou mysql . piloter un projet . procéder au choix de réalisation , de traitement en interne ou par sous-traitance et en contrôler le conformité de réalisation . force de proposition . sens de le communication . rigueur"
146bqgy,chef de projet informatique,"analyser et définir le besoin de le entreprise , un utilisateur en matière de organisation et de système de information et de télécommunication . concevoir le schéma directeur à partir de orientation fixer par le direction et de besoin de service utilisateur et superviser le modalité de mise en oeuvre . coordonner le différent étape de un projet . piloter un projet . procéder au choix de réalisation , de traitement en interne ou par sous-traitance et en contrôler le conformité de réalisation . travail en équipe . sens de le communication . autonomie"
146cslj,chef de projet informatique,"analyser et définir le besoin de le entreprise , un utilisateur en matière de organisation et de système de information et de télécommunication . concevoir le schéma directeur à partir de orientation fixer par le direction et de besoin de service utilisateur et superviser le modalité de mise en oeuvre . coordonner le différent étape de un projet . piloter un projet . procéder au choix de réalisation , de traitement en interne ou par sous-traitance et en contrôler le conformité de réalisation . connaissance de secteur médico-social . connaissance général en environnement ms window . maitrise un outil bureautique . force de proposition . travail en équipe . autonomie"
146fcdv,chef de projet informatique,"analyser et définir le besoin de le entreprise , un utilisateur en matière de organisation et de système de information et de télécommunication . concevoir le schéma directeur à partir de orientation fixer par le direction et de besoin de service utilisateur et superviser le modalité de mise en oeuvre . coordonner le différent étape de un projet . piloter un projet . procéder au choix de réalisation , de traitement en interne ou par sous-traitance et en contrôler le conformité de réalisation . travail en équipe . sens de le organisation . rigueur"
146fhdw,chef de projet informatique,capacité de adaptation . autonomie . rigueur
146gxbj,chef de projet informatique,"analyser et définir le besoin de le entreprise , un utilisateur en matière de organisation et de système de information et de télécommunication . concevoir le schéma directeur à partir de orientation fixer par le direction et de besoin de service utilisateur et superviser le modalité de mise en oeuvre . coordonner le différent étape de un projet . piloter un projet . procéder au choix de réalisation , de traitement en interne ou par sous-traitance et en contrôler le conformité de réalisation"
146hrgp,chef de projet informatique,"analyser et définir le besoin de le entreprise , un utilisateur en matière de organisation et de système de information et de télécommunication . concevoir le schéma directeur à partir de orientation fixer par le direction et de besoin de service utilisateur et superviser le modalité de mise en oeuvre . coordonner le différent étape de un projet . piloter un projet . procéder au choix de réalisation , de traitement en interne ou par sous-traitance et en contrôler le conformité de réalisation"
146mszc,chef de projet informatique,"analyser et définir le besoin de le entreprise , un utilisateur en matière de organisation et de système de information et de télécommunication . concevoir le schéma directeur à partir de orientation fixer par le direction et de besoin de service utilisateur et superviser le modalité de mise en oeuvre . coordonner le différent étape de un projet . piloter un projet . procéder au choix de réalisation , de traitement en interne ou par sous-traitance et en contrôler le conformité de réalisation . capacité de adaptation . persévérance . sens de le communication"
146nfyb,chef de projet informatique,analyser le besoin de client . concevoir et développer le programme et application informatique . déterminer un mesure correctif . rédiger un spécification technique de besoin stb . établir un cahier de charge . capacité de adaptation . capacité à fédérer . sens de le communication
146nhyw,chef de projet informatique,"analyser et définir le besoin de le entreprise , un utilisateur en matière de organisation et de système de information et de télécommunication . concevoir le schéma directeur à partir de orientation fixer par le direction et de besoin de service utilisateur et superviser le modalité de mise en oeuvre . coordonner le différent étape de un projet . piloter un projet . procéder au choix de réalisation , de traitement en interne ou par sous-traitance et en contrôler le conformité de réalisation"
146sfln,chef de projet informatique,"analyser et définir le besoin de le entreprise , un utilisateur en matière de organisation et de système de information et de télécommunication . concevoir le schéma directeur à partir de orientation fixer par le direction et de besoin de service utilisateur et superviser le modalité de mise en oeuvre . coordonner le différent étape de un projet . piloter un projet . procéder au choix de réalisation , de traitement en interne ou par sous-traitance et en contrôler le conformité de réalisation"
146xkzg,chef de projet informatique,"analyser et définir le besoin de le entreprise , un utilisateur en matière de organisation et de système de information et de télécommunication . concevoir le schéma directeur à partir de orientation fixer par le direction et de besoin de service utilisateur et superviser le modalité de mise en oeuvre . coordonner le différent étape de un projet . piloter un projet . procéder au choix de réalisation , de traitement en interne ou par sous-traitance et en contrôler le conformité de réalisation . réactivité . sens de le communication . autonomie"
146ydww,chef de projet informatique,"analyser et définir le besoin de le entreprise , un utilisateur en matière de organisation et de système de information et de télécommunication . concevoir le schéma directeur à partir de orientation fixer par le direction et de besoin de service utilisateur et superviser le modalité de mise en oeuvre . coordonner le différent étape de un projet . piloter un projet . procéder au choix de réalisation , de traitement en interne ou par sous-traitance et en contrôler le conformité de réalisation"
147bgpj,chef de projet informatique,"analyser et définir le besoin de le entreprise , un utilisateur en matière de organisation et de système de information et de télécommunication . concevoir le schéma directeur à partir de orientation fixer par le direction et de besoin de service utilisateur et superviser le modalité de mise en oeuvre . coordonner le différent étape de un projet . piloter un projet . procéder au choix de réalisation , de traitement en interne ou par sous-traitance et en contrôler le conformité de réalisation"
147bhvn,chef de projet informatique,"analyser et définir le besoin de le entreprise , un utilisateur en matière de organisation et de système de information et de télécommunication . concevoir le schéma directeur à partir de orientation fixer par le direction et de besoin de service utilisateur et superviser le modalité de mise en oeuvre . coordonner le différent étape de un projet . piloter un projet . procéder au choix de réalisation , de traitement en interne ou par sous-traitance et en contrôler le conformité de réalisation . salondunumériqu . curiosité . travail en équipe . autonomie"
147cfmy,chef de projet informatique,"analyser et définir le besoin de le entreprise , un utilisateur en matière de organisation et de système de information et de télécommunication . concevoir le schéma directeur à partir de orientation fixer par le direction et de besoin de service utilisateur et superviser le modalité de mise en oeuvre . coordonner le différent étape de un projet . piloter un projet . procéder au choix de réalisation , de traitement en interne ou par sous-traitance et en contrôler le conformité de réalisation . force de proposition . sens de le communication . sens de le organisation"
