metier,identifiant,competences,savoir-etre
Data scientist,147FHSL,"Adapter les outils de traitement statistique de données. Définir les méthodes et les outils de traitement de l'information. Présenter et diffuser les résultats des études réalisées. Réaliser une veille documentaire (collecte, analyse etc.). Rédiger l'information produite (études, synthèses, rapports, bulletins, ...) et établir des prévisions, des évaluations, des recommandations, des perspectives, ...",Autonomie. Sens de l'organisation. Rigueur
Data scientist,146VQML,"Adapter les outils de traitement statistique de données. Définir les méthodes et les outils de traitement de l'information. Présenter et diffuser les résultats des études réalisées. Réaliser une veille documentaire (collecte, analyse etc.). Rédiger l'information produite (études, synthèses, rapports, bulletins, ...) et établir des prévisions, des évaluations, des recommandations, des perspectives, ...",Capacité d'adaptation. Sens de l'organisation. Rigueur
Data scientist,7453904,,
Data scientist,7453830,,
Data scientist,7453296,,
Data scientist,7453078,,
Data scientist,7452035,,
Data scientist,7446732,,
Data scientist,7426923,,
Data scientist,7424639,,
Data scientist,7424300,,
Data scientist,7421928,,
Data scientist,7421688,,
Data scientist,7420517,,
Data scientist,7419527,,
Data scientist,7419328,,
Data scientist,7417916,,
Data scientist,7408796,,
Data scientist,7407652,,
Data scientist,7383786,,
Data scientist,7381861,,
Data scientist,7381357,,
Data scientist,7372764,,
Data scientist,7372647,,
Data scientist,7372079,,
Data scientist,7371950,,
Data scientist,7366500,,
Data scientist,7356663,,
Data scientist,7351265,,
Data scientist,7344248,,
Data scientist,7340187,,
Data scientist,7328220,,
Data scientist,7327252,,
Data scientist,7324967,,
Data scientist,7324920,,
Data scientist,7324752,,
Data scientist,7319351,,
Data scientist,7318872,,
Data scientist,7318357,,
Data scientist,7317861,,
Data scientist,7317599,,
Data scientist,7317251,,
Data scientist,7311885,,
Data scientist,7309295,,
Data scientist,7306682,,
Data scientist,7279144,,
Data scientist,7277448,,
Data scientist,7277410,,
Data scientist,7273482,,
Data scientist,7266980,,
Data scientist,7260102,,
Data scientist,7219668,,
Data scientist,7217785,,
Data scientist,7214060,,
Data scientist,7192042,,
Data scientist,7173561,,
Data scientist,7173199,,
Data scientist,7172904,,
Data scientist,7166173,,
Data scientist,7166139,,
Data scientist,7165974,,
Data scientist,7165674,,
Data scientist,7165332,,
Data scientist,7164663,,
Data scientist,7164114,,
Data scientist,7164004,,
Data scientist,7163978,,
Data scientist,7163217,,
Data scientist,7148817,,
Data scientist,7148024,,
Data scientist,7146694,,
Data scientist,7145115,,
Data scientist,7144671,,
Data scientist,7143666,,
Data scientist,7143218,,
Data scientist,7143064,,
Data scientist,7143016,,
Data scientist,7138537,,
Data scientist,7133577,,
Data scientist,7110884,,
Data scientist,7109476,,
Data scientist,7105892,,
Data scientist,7102902,,
Data scientist,7089176,,
Data scientist,7088751,,
Data scientist,7088725,,
Data scientist,7077181,,
Data scientist,7077065,,
Data scientist,7076988,,
Data scientist,7076316,,
Data scientist,7054690,,
Data scientist,7054093,,
Data scientist,7040540,,
Data scientist,7028257,,
Data scientist,7025531,,
Data scientist,7023593,,
Data scientist,7022757,,
Data scientist,7021403,,
Data scientist,7007831,,
Data scientist,7006769,,
Data scientist,7006706,,
Data scientist,7006355,,
Data scientist,7005434,,
Data scientist,7002599,,
Data scientist,7001083,,
Data scientist,6999775,,
Data scientist,6999266,,
Data scientist,6895207,,
Data scientist,6892005,,
Data scientist,6891208,,
Data scientist,6891091,,
Data scientist,6890740,,
Data scientist,6886558,,
Data scientist,6883084,,
Data scientist,6859804,,
Data scientist,6858802,,
Data scientist,6792864,,
Data scientist,6789866,,
Data scientist,6788913,,
Data scientist,6784608,,
Data scientist,6762205,,
Data scientist,6760889,,
Data scientist,6743185,,
Data scientist,6742199,,
Data scientist,6741113,,
Data scientist,6733655,,
Data scientist,6708317,,
Data scientist,6707481,,
Data scientist,6707240,,
Data scientist,6707135,,
Data scientist,6692482,,
Data scientist,6691750,,
Data scientist,6690302,,
Data scientist,6690098,,
Data scientist,6687603,,
Data scientist,6686408,,
Data scientist,6686098,,
Data scientist,6685587,,
Data scientist,6683750,,
Data scientist,6683619,,
Data scientist,6681525,,
Data scientist,6659108,,
Data scientist,6658439,,
Data scientist,6656666,,
Data scientist,6656562,,
Data scientist,6655130,,
Data scientist,6648787,,
Data scientist,6619734,,
Data scientist,6619293,,
Data scientist,6616947,,
Data scientist,6614243,,
Data scientist,6596832,,
Data scientist,6594779,,
Data scientist,6592980,,
Data scientist,6592578,,
Data scientist,6587981,,
Data scientist,6575215,,
Data scientist,6557800,,
Data scientist,6534109,,
Data scientist,6533945,,
Data scientist,6533811,,
Data scientist,6532703,,
Data scientist,6472679,,
Data scientist,6469353,,
Data scientist,6459054,,
Data scientist,6455622,,
Data scientist,6454893,,
Data scientist,6454820,,
Data scientist,6448509,,
Data scientist,6446168,,
Data scientist,6364931,,
Data scientist,6324620,,
Data scientist,6324589,,
Data scientist,6324417,,
Data scientist,6317886,,
Data scientist,6308870,,
Data scientist,6267103,,
Data scientist,6252739,,
Data scientist,6252187,,
Data scientist,6252107,,
Data scientist,6251573,,
Data scientist,6249993,,
Data scientist,6249964,,
Data scientist,6238728,,
Data scientist,6232798,,
Data scientist,6228084,,
Data scientist,6227839,,
