metier,identifiant,competences,savoir-etre
Développeur java,147KHWR,Méthodologie,Travail en équipe. Rigueur
Développeur java,147KHHS,Langage informatique J2EE. Langage informatique Java. Analyser les besoins du client. Concevoir et développer les programmes et applications informatiques. Déterminer des mesures correctives. Rédiger une Spécification Technique de Besoin (STB). Établir un cahier des charges,
Développeur java,147KDHN,Analyser les besoins du client. Concevoir et développer les programmes et applications informatiques. Déterminer des mesures correctives. Rédiger une Spécification Technique de Besoin (STB). Établir un cahier des charges,Capacité d'adaptation. Travail en équipe. Rigueur
Développeur java,147JYVP,Analyser les besoins du client. Concevoir et développer les programmes et applications informatiques. Déterminer des mesures correctives. Rédiger une Spécification Technique de Besoin (STB). Établir un cahier des charges,Capacité d'adaptation. Travail en équipe. Autonomie
Développeur java,147JQLB,,
Développeur java,147JCLV,,
Développeur java,147HYZY,Analyser les besoins du client. Concevoir et développer les programmes et applications informatiques. Déterminer des mesures correctives. Rédiger une Spécification Technique de Besoin (STB). Établir un cahier des charges. SalonduNumerisue,
Développeur java,147HXLB,,Réactivité. Autonomie. Rigueur
Développeur java,147HVRB,Analyser des problèmes techniques. Analyser les besoins du client. Concevoir et développer les programmes et applications informatiques. Déterminer des mesures correctives. Établir un cahier des charges,
Développeur java,147HKXJ,,
Développeur java,147HBQY,Analyser les besoins du client. Concevoir et développer les programmes et applications informatiques. Déterminer des mesures correctives. Rédiger une Spécification Technique de Besoin (STB). Établir un cahier des charges,
Développeur java,147HBBV,Analyser les besoins du client. Concevoir et développer les programmes et applications informatiques. Déterminer des mesures correctives. Rédiger une Spécification Technique de Besoin (STB). Établir un cahier des charges,
Développeur java,147GZGD,,
Développeur java,147GWQH,Analyser les besoins du client. Concevoir et développer les programmes et applications informatiques. Déterminer des mesures correctives. Rédiger une Spécification Technique de Besoin (STB). Établir un cahier des charges,
Développeur java,147GSRT,Analyser des problèmes techniques. Analyser les besoins du client. Concevoir et développer les programmes et applications informatiques. Déterminer des mesures correctives. Établir un cahier des charges,Capacité d'adaptation. Travail en équipe. Autonomie
Développeur java,147GSLD,Analyser des problèmes techniques. Analyser les besoins du client. Concevoir et développer les programmes et applications informatiques. Déterminer des mesures correctives. Établir un cahier des charges,Capacité d'adaptation. Travail en équipe. Autonomie
Développeur java,147GSFZ,Analyser des problèmes techniques. Analyser les besoins du client. Concevoir et développer les programmes et applications informatiques. Déterminer des mesures correctives. Établir un cahier des charges,Travail en équipe. Autonomie. Rigueur
Développeur java,147GSBC,Analyser les besoins du client. Concevoir et développer les programmes et applications informatiques. Déterminer des mesures correctives. Rédiger une Spécification Technique de Besoin (STB). Établir un cahier des charges,
Développeur java,147GRZR,Analyser les besoins du client. Concevoir et développer les programmes et applications informatiques. Déterminer des mesures correctives. Rédiger une Spécification Technique de Besoin (STB). Établir un cahier des charges,
Développeur java,147GRYQ,Analyser les besoins du client. Concevoir et développer les programmes et applications informatiques. Déterminer des mesures correctives. Rédiger une Spécification Technique de Besoin (STB). Établir un cahier des charges,
Développeur java,147FZGD,Analyser les besoins du client. Langage informatique Java. Programmation informatique,
Développeur java,147FLBS,Analyser les besoins du client. Concevoir et développer les programmes et applications informatiques. Déterminer des mesures correctives. Déterminer les phases et procédures de tests techniques et fonctionnels de programmes et applications informatiques. Langage informatique Java. Langage informatique SQL. Réaliser des supports techniques. Rédiger une Spécification Technique de Besoin (STB). Établir un cahier des charges,Sens de la communication. Autonomie. Rigueur
Développeur java,147FKWG,Analyser les besoins du client. Concevoir et développer les programmes et applications informatiques. Déterminer des mesures correctives. Rédiger une Spécification Technique de Besoin (STB). Établir un cahier des charges,
Développeur java,147FKMZ,Analyser les besoins du client. Concevoir et développer les programmes et applications informatiques. Déterminer des mesures correctives. Rédiger une Spécification Technique de Besoin (STB). Établir un cahier des charges. SalonduNumérique,
Développeur java,147FDCY,Analyser des problèmes techniques. Analyser les besoins du client. Concevoir et développer les programmes et applications informatiques. Déterminer des mesures correctives. Établir un cahier des charges. SalonduNumérique,
Développeur java,147DPCS,Analyser les besoins du client. Concevoir et développer les programmes et applications informatiques. Déterminer des mesures correctives. Rédiger une Spécification Technique de Besoin (STB). Établir un cahier des charges. SalonduNumérique,
Développeur java,147DPCR,Analyser les besoins du client. Concevoir et développer les programmes et applications informatiques. Déterminer des mesures correctives. Rédiger une Spécification Technique de Besoin (STB). Établir un cahier des charges,Capacité d'adaptation. Autonomie. Rigueur
Développeur java,147DPBW,Analyser les besoins du client. Concevoir et développer les programmes et applications informatiques. Déterminer des mesures correctives. Rédiger une Spécification Technique de Besoin (STB). Établir un cahier des charges,Capacité d'adaptation. Autonomie. Rigueur
