metier,identifiant,competences,savoir-etre
Administrateur linux,147KFJL,"Actualiser les systèmes d'information en fonction des évolutions. Améliorer un système d'information. Analyser les performances d'un système d'information. Diagnostiquer la nature et l'origine des incidents et mettre en oeuvre les mesures correctives. Mettre en place les procédures techniques d'exploitation, d'utilisation et de sécurité des équipements informatiques",
Administrateur linux,147HVHH,"Actualiser les systèmes d'information en fonction des évolutions. Améliorer un système d'information. Analyser les performances d'un système d'information. Diagnostiquer la nature et l'origine des incidents et mettre en oeuvre les mesures correctives. Mettre en place les procédures techniques d'exploitation, d'utilisation et de sécurité des équipements informatiques",
Administrateur linux,147HSFM,"Actualiser les systèmes d'information en fonction des évolutions. Améliorer un système d'information. Analyser les performances d'un système d'information. Diagnostiquer la nature et l'origine des incidents et mettre en oeuvre les mesures correctives. Mettre en place les procédures techniques d'exploitation, d'utilisation et de sécurité des équipements informatiques",Sens de la communication. Sens de l'organisation. Rigueur
Administrateur linux,147HSFL,"Actualiser les systèmes d'information en fonction des évolutions. Améliorer un système d'information. Analyser les performances d'un système d'information. Diagnostiquer la nature et l'origine des incidents et mettre en oeuvre les mesures correctives. Mettre en place les procédures techniques d'exploitation, d'utilisation et de sécurité des équipements informatiques",Force de proposition. Sens de l'organisation. Rigueur
Administrateur linux,147HKJV,"Actualiser les systèmes d'information en fonction des évolutions. Améliorer un système d'information. Analyser les performances d'un système d'information. Mettre en place les procédures techniques d'exploitation, d'utilisation et de sécurité des équipements informatiques. Diagnostiquer la nature et l'origine des incidents et mettre en oeuvre les mesures correctives",Force de proposition. Autonomie. Rigueur
Administrateur linux,147GJFS,"Actualiser les systèmes d'information en fonction des évolutions. Améliorer un système d'information. Analyser les performances d'un système d'information. Diagnostiquer la nature et l'origine des incidents et mettre en oeuvre les mesures correctives. Mettre en place les procédures techniques d'exploitation, d'utilisation et de sécurité des équipements informatiques",
Administrateur linux,147FJMT,"Actualiser les systèmes d'information en fonction des évolutions. Améliorer un système d'information. Analyser les performances d'un système d'information. Diagnostiquer la nature et l'origine des incidents et mettre en oeuvre les mesures correctives. Mettre en place les procédures techniques d'exploitation, d'utilisation et de sécurité des équipements informatiques",
Administrateur linux,146ZTDM,"Actualiser les systèmes d'information en fonction des évolutions. Améliorer un système d'information. Analyser les performances d'un système d'information. Diagnostiquer la nature et l'origine des incidents et mettre en oeuvre les mesures correctives. Mettre en place les procédures techniques d'exploitation, d'utilisation et de sécurité des équipements informatiques",Capacité d'adaptation. Force de proposition. Autonomie
Administrateur linux,146XVJT,"Actualiser les systèmes d'information en fonction des évolutions. Attribuer des ressources logiques et matérielles de réseaux. Diagnostiquer la nature et l'origine des incidents et mettre en oeuvre les mesures correctives. Gérer les droits d'accès des utilisateurs. Mettre en place les procédures techniques d'exploitation, d'utilisation et de sécurité des équipements informatiques. Améliorer un système d'information. Analyser les performances d'un système d'information. Infogérance / télémaintenance. Installer un équipement informatique. Règles d'installation informatiques. Système de messagerie",Réactivité. Sens de la communication. Sens de l'organisation
Administrateur linux,146WLJH,,Travail en équipe. Sens de la communication. Sens de l'organisation
