metier,identifiant,competences,savoir-etre
Chef de projet moa,147HKPM,Analyser les processus métier. Définir des solutions fonctionnelles. Définir la faisabilité et la rentabilité d'un projet. Présenter les évolutions du système d'information au commanditaire. Recenser les besoins du commanditaire,Travail en équipe. Sens de la communication. Sens de l'organisation
Chef de projet moa,147BVGY,Analyser les processus métier. Définir des solutions fonctionnelles. Définir la faisabilité et la rentabilité d'un projet. Présenter les évolutions du système d'information au commanditaire. Recenser les besoins du commanditaire,
Chef de projet moa,146VJVG,"Analyser les processus métier. Animer une réunion. Concevoir des supports d'information et de communication. Contractualiser une prestation. Coordonner l'activité d'une équipe. Coordonner les différentes étapes d'un projet. Définir des solutions fonctionnelles. Définir la faisabilité et la rentabilité d'un projet. Déployer des applications. Former du personnel à des procédures et techniques. Mettre en oeuvre des préconisations fonctionnelles et techniques. Piloter un projet. Procéder aux phases de tests et de recettes des applications développées. Proposer une réponse à un appel d'offre. Présenter les évolutions du système d'information au commanditaire. Recenser les besoins du commanditaire. Réaliser un appel d'offre. Réaliser un reporting. Réaliser un suivi administratif des opérations de gestion des ressources humaines. Suivre l'avancement d'un projet. Traiter l'information (collecter, classer et mettre à jour). Élaborer des propositions commerciales. Établir un cahier des charges",Capacité d'adaptation. Autonomie. Sens de l'organisation
Chef de projet moa,146TTQR,Analyser les processus métier. Définir des solutions fonctionnelles. Définir la faisabilité et la rentabilité d'un projet. Présenter les évolutions du système d'information au commanditaire. Recenser les besoins du commanditaire,Autonomie. Sens de l'organisation. Rigueur
Chef de projet moa,146SGQR,Analyser les processus métier. Définir des solutions fonctionnelles. Définir la faisabilité et la rentabilité d'un projet. Présenter les évolutions du système d'information au commanditaire. Recenser les besoins du commanditaire,Force de proposition. Travail en équipe. Sens de l'organisation
Chef de projet moa,146NXHH,Analyser les processus métier. Définir des solutions fonctionnelles. Définir la faisabilité et la rentabilité d'un projet. Présenter les évolutions du système d'information au commanditaire. Recenser les besoins du commanditaire,Réactivité. Autonomie. Sens de l'organisation
Chef de projet moa,146NWNY,Analyser les processus métier. Définir des solutions fonctionnelles. Définir la faisabilité et la rentabilité d'un projet. Présenter les évolutions du système d'information au commanditaire. Recenser les besoins du commanditaire,
Chef de projet moa,146JBFV,,Capacité d'adaptation. Travail en équipe. Autonomie
Chef de projet moa,146DYDS,Analyser les processus métier. Définir des solutions fonctionnelles. Définir la faisabilité et la rentabilité d'un projet. Présenter les évolutions du système d'information au commanditaire. Recenser les besoins du commanditaire,
Chef de projet moa,146DNZS,"Adapter les outils de traitement statistique de données. Définir les méthodes et les outils de traitement de l'information. Présenter et diffuser les résultats des études réalisées. Réaliser une étude. Rédiger l'information produite (études, synthèses, rapports, bulletins, ...) et établir des prévisions, des évaluations, des recommandations, des perspectives, ...",
Chef de projet moa,143NQJD,Analyser les processus métier. Définir des solutions fonctionnelles. Définir la faisabilité et la rentabilité d'un projet. Présenter les évolutions du système d'information au commanditaire. Recenser les besoins du commanditaire. Finance. Gestion financière,Gestion du stress. Sens de l'organisation. Rigueur
Chef de projet moa,146ZXYH,Analyser les processus métier. Définir des solutions fonctionnelles. Définir la faisabilité et la rentabilité d'un projet. Présenter les évolutions du système d'information au commanditaire. Recenser les besoins du commanditaire,
Chef de projet moa,146KTTJ,Analyser les processus métier. Définir des solutions fonctionnelles. Définir la faisabilité et la rentabilité d'un projet. Présenter les évolutions du système d'information au commanditaire. Recenser les besoins du commanditaire. capacité d'analyse. qualités relationnelles. rédactionnelles,Sens de la communication. Autonomie. Rigueur
Chef de projet moa,146ZSJD,,
Chef de projet moa,146XJJS,Analyser les processus métier. Définir des solutions fonctionnelles. Définir la faisabilité et la rentabilité d'un projet,Réactivité. Autonomie. Rigueur
Chef de projet moa,146LZVG,Analyser les processus métier. Définir des solutions fonctionnelles. Définir la faisabilité et la rentabilité d'un projet. Présenter les évolutions du système d'information au commanditaire. Recenser les besoins du commanditaire,Autonomie. Sens de l'organisation. Rigueur
Chef de projet moa,146LRGB,,Réactivité. Sens de la communication. Sens de l'organisation
Chef de projet moa,146JQCP,Analyser les processus métier. Définir des solutions fonctionnelles. Définir la faisabilité et la rentabilité d'un projet. Présenter les évolutions du système d'information au commanditaire. Recenser les besoins du commanditaire,Travail en équipe. Sens de l'organisation. Rigueur
Chef de projet moa,146HGHZ,Analyser les processus métier. Définir des solutions fonctionnelles. Définir la faisabilité et la rentabilité d'un projet. Présenter les évolutions du système d'information au commanditaire. Recenser les besoins du commanditaire,Travail en équipe. Sens de l'organisation. Rigueur
Chef de projet moa,147JSSV,Analyser les processus métier. Définir des solutions fonctionnelles. Définir la faisabilité et la rentabilité d'un projet. Présenter les évolutions du système d'information au commanditaire. Recenser les besoins du commanditaire,
Chef de projet moa,146WWPT,Analyser les processus métier. Définir des solutions fonctionnelles. Définir la faisabilité et la rentabilité d'un projet. Présenter les évolutions du système d'information au commanditaire. Recenser les besoins du commanditaire,Capacité d'adaptation. Autonomie. Rigueur
