metier,identifiant,competences,savoir-etre
Développeur informatique,147KCMZ,Analyser les besoins du client. Concevoir et développer les programmes et applications informatiques. Déterminer des mesures correctives. Rédiger une Spécification Technique de Besoin (STB). Établir un cahier des charges,
Développeur informatique,147JQJR,Analyser les besoins du client. Concevoir et développer les programmes et applications informatiques. Déterminer des mesures correctives. Rédiger une Spécification Technique de Besoin (STB). Établir un cahier des charges,
Développeur informatique,147JQHH,Analyser les besoins du client. Concevoir et développer les programmes et applications informatiques. Déterminer des mesures correctives. Rédiger une Spécification Technique de Besoin (STB). Établir un cahier des charges,
Développeur informatique,147JMDX,Analyser les besoins du client. Concevoir et développer les programmes et applications informatiques. Déterminer des mesures correctives. Rédiger une Spécification Technique de Besoin (STB). Établir un cahier des charges,
Développeur informatique,147JMDG,Analyser les besoins du client. Concevoir et développer les programmes et applications informatiques. Déterminer des mesures correctives. Rédiger une Spécification Technique de Besoin (STB). Établir un cahier des charges,
Développeur informatique,147JLRN,Analyser les besoins du client. Concevoir et développer les programmes et applications informatiques. Déterminer des mesures correctives. Rédiger une Spécification Technique de Besoin (STB). Établir un cahier des charges,Curiosité. Autonomie. Sens de l'organisation
Développeur informatique,147JKZY,Analyser les besoins du client. Concevoir et développer les programmes et applications informatiques. Déterminer des mesures correctives. Rédiger une Spécification Technique de Besoin (STB). Établir un cahier des charges,
Développeur informatique,147JJSS,Analyser les besoins du client. Concevoir et développer les programmes et applications informatiques. Déterminer des mesures correctives. Rédiger une Spécification Technique de Besoin (STB). Établir un cahier des charges,
Développeur informatique,147JBHR,Analyser les besoins du client. Concevoir et développer les programmes et applications informatiques. Déterminer des mesures correctives. Rédiger une Spécification Technique de Besoin (STB). Établir un cahier des charges,Réactivité. Gestion du stress. Autonomie
Développeur informatique,147HKSD,Analyser les besoins du client. Concevoir et développer les programmes et applications informatiques. Déterminer des mesures correctives. Rédiger une Spécification Technique de Besoin (STB). Établir un cahier des charges,
Développeur informatique,147HJTX,Analyser les besoins du client. Concevoir et développer les programmes et applications informatiques. Déterminer des mesures correctives. Rédiger une Spécification Technique de Besoin (STB). Établir un cahier des charges,
Développeur informatique,147HHSJ,Analyser les besoins du client. Concevoir et développer les programmes et applications informatiques. Déterminer des mesures correctives. Rédiger une Spécification Technique de Besoin (STB). Établir un cahier des charges,
Développeur informatique,147GXSQ,Analyser les besoins du client. Concevoir et développer les programmes et applications informatiques. Déterminer des mesures correctives. Rédiger une Spécification Technique de Besoin (STB). Établir un cahier des charges,Curiosité. Gestion du stress. Autonomie
Développeur informatique,147GLPQ,Analyser les besoins du client. Concevoir et développer les programmes et applications informatiques. Déterminer des mesures correctives. Rédiger une Spécification Technique de Besoin (STB). Établir un cahier des charges,Sens de la communication. Sens de l'organisation. Rigueur
Développeur informatique,147GGWN,Analyser les besoins du client. Concevoir et développer les programmes et applications informatiques. Déterminer des mesures correctives. Rédiger une Spécification Technique de Besoin (STB). Établir un cahier des charges. Développeur(se) TMA (H/F) H/F,
Développeur informatique,147GBGX,Analyser les besoins du client. Concevoir et développer les programmes et applications informatiques. Déterminer des mesures correctives. Rédiger une Spécification Technique de Besoin (STB). Établir un cahier des charges. SalonduNumérique,
Développeur informatique,147FZQC,Analyser les besoins du client. Concevoir et développer les programmes et applications informatiques. Déterminer des mesures correctives. Rédiger une Spécification Technique de Besoin (STB). Établir un cahier des charges,Réactivité. Autonomie. Rigueur
Développeur informatique,147FZMJ,Analyser les besoins du client. Concevoir et développer les programmes et applications informatiques. Déterminer des mesures correctives. Rédiger une Spécification Technique de Besoin (STB). Établir un cahier des charges,Travail en équipe. Autonomie. Rigueur
Développeur informatique,147FYGL,,Force de proposition. Réactivité. Autonomie
Développeur informatique,147FPKK,,Travail en équipe. Autonomie. Rigueur
Développeur informatique,147DVHY,Analyser les besoins du client. Concevoir et développer les programmes et applications informatiques. Déterminer des mesures correctives. Rédiger une Spécification Technique de Besoin (STB). Établir un cahier des charges. Langage informatique C#. Langage informatique C/C++. Langage informatique Delphi. Langage informatique SQL,Réactivité. Autonomie. Sens de l'organisation
Développeur informatique,147DRGQ,Analyser les besoins du client. Concevoir et développer les programmes et applications informatiques. Déterminer des mesures correctives. Rédiger une Spécification Technique de Besoin (STB). Établir un cahier des charges,
Développeur informatique,147DRCX,Analyser les besoins du client. Concevoir et développer les programmes et applications informatiques. Déterminer des mesures correctives. Rédiger une Spécification Technique de Besoin (STB). Établir un cahier des charges,
Développeur informatique,147DLGC,Analyser les besoins du client. Concevoir et développer les programmes et applications informatiques. Déterminer des mesures correctives. Rédiger une Spécification Technique de Besoin (STB). Établir un cahier des charges,
Développeur informatique,147DGRT,Analyser les besoins du client. Concevoir et développer les programmes et applications informatiques. Déterminer des mesures correctives. Rédiger une Spécification Technique de Besoin (STB). Établir un cahier des charges,Persévérance. Travail en équipe. Rigueur
Développeur informatique,147CWMD,Analyser les besoins du client. Concevoir et développer les programmes et applications informatiques. Déterminer des mesures correctives. Rédiger une Spécification Technique de Besoin (STB). Établir un cahier des charges,Capacité d'adaptation. Travail en équipe. Autonomie
Développeur informatique,147CRSK,Analyser les besoins du client. Concevoir et développer les programmes et applications informatiques. Déterminer des mesures correctives. Rédiger une Spécification Technique de Besoin (STB). Établir un cahier des charges,
Développeur informatique,147CFQB,Analyser les besoins du client. Concevoir et développer les programmes et applications informatiques. Déterminer des mesures correctives. Rédiger une Spécification Technique de Besoin (STB). Établir un cahier des charges,
Développeur informatique,147CBSH,Analyser les besoins du client. Concevoir et développer les programmes et applications informatiques. Déterminer des mesures correctives. Rédiger une Spécification Technique de Besoin (STB). Établir un cahier des charges,
Développeur informatique,147BZGK,Analyser les besoins du client. Anglais technique. Concevoir et développer les programmes et applications informatiques. Déterminer des mesures correctives. Rédiger une Spécification Technique de Besoin (STB). Établir un cahier des charges,Gestion du stress. Sens de la communication. Autonomie
Développeur informatique,147BTQD,Analyser des problèmes techniques. Concevoir et développer les programmes et applications informatiques. Déterminer des mesures correctives. Déterminer les phases et procédures de tests techniques et fonctionnels de programmes et applications informatiques. Langages de programmation informatique,Réactivité. Travail en équipe. Rigueur
Développeur informatique,147BMZK,Analyser les besoins du client. Concevoir et développer les programmes et applications informatiques. Déterminer des mesures correctives. Rédiger une Spécification Technique de Besoin (STB). Établir un cahier des charges,
Développeur informatique,147BMKN,Analyser les besoins du client. Concevoir et développer les programmes et applications informatiques. Déterminer des mesures correctives. Rédiger une Spécification Technique de Besoin (STB). Établir un cahier des charges,
Développeur informatique,147BLQF,Analyser les besoins du client. Concevoir et développer les programmes et applications informatiques. Déterminer des mesures correctives. Rédiger une Spécification Technique de Besoin (STB). Établir un cahier des charges,Réactivité. Sens de la communication. Autonomie
Développeur informatique,146ZZNZ,Analyser les besoins du client. Concevoir et développer les programmes et applications informatiques. Déterminer des mesures correctives. Rédiger une Spécification Technique de Besoin (STB). Établir un cahier des charges,Curiosité. Autonomie. Capacité de décision
Développeur informatique,146YVNL,Configurer le poste de travail aux besoins de l'utilisateur et effectuer les tests de fonctionnement. Diagnostiquer à distance un dysfonctionnement informatique matériel ou logiciel. Guider l'utilisateur pour résoudre le dysfonctionnement ou prendre le contrôle du système à distance. Identifier des ressources nécessaires à la résolution d'un dysfonctionnement. Renseigner les supports de suivi d'intervention et transmettre les informations au service concerné,
Développeur informatique,146YPTX,Analyser les besoins du client. Concevoir et développer les programmes et applications informatiques. Déterminer des mesures correctives. Rédiger une Spécification Technique de Besoin (STB). Établir un cahier des charges,Capacité d'adaptation. Curiosité. Autonomie
Développeur informatique,146XVFC,Analyser les besoins du client. Concevoir et développer les programmes et applications informatiques. Déterminer des mesures correctives. Rédiger une Spécification Technique de Besoin (STB). Établir un cahier des charges,
