metier,identifiant,competences,savoir-etre
Delivery manager,147CNTW,,
Delivery manager,147CKFG,Analyse statistique. Proposer des solutions techniques à un client. Recueillir l'avis et les remarques d'un client. Techniques de communication. Techniques de vente,Force de proposition. Autonomie. Sens de l'organisation
Delivery manager,147BZPN,,
Delivery manager,146XVKK,Analyser des problèmes techniques. Déterminer les solutions et préconisations techniques et les communiquer aux clients. Effectuer le suivi technique des produits et de leur évolution auprès des clients. Informer les clients des problèmes techniques relevés et des modifications et réparations à apporter. Techniques pédagogiques. semaine du numérique....,Capacité à fédérer. Sens de la communication. Autonomie
Delivery manager,146STKQ,,
Delivery manager,146SHBN,"Analyser et définir les besoins de l'entreprise, des utilisateurs en matière d'organisation et de systèmes d'information et de télécoms. Concevoir le schéma directeur à partir des orientations fixées par la direction et des besoins des services utilisateurs et superviser les modalités de mise en oeuvre. Coordonner les différentes étapes d'un projet. Piloter un projet. Procéder au choix de réalisation, de traitement en interne ou par sous-traitance et en contrôler la conformité de réalisation",Sens de la communication. Sens de l'organisation. Rigueur
Delivery manager,146DCNT,,Travail en équipe. Sens de la communication. Rigueur
Delivery manager,146DCMC,,Travail en équipe. Sens de la communication. Rigueur
Delivery manager,146DCLH,,Travail en équipe. Sens de la communication. Rigueur
Delivery manager,7455156,,
Delivery manager,7454501,,
Delivery manager,7454263,,
Delivery manager,7451905,,
Delivery manager,7420871,,
Delivery manager,7419533,,
Delivery manager,7341345,,
Delivery manager,7341143,,
Delivery manager,7313323,,
Delivery manager,7312023,,
Delivery manager,7311857,,
Delivery manager,7309774,,
Delivery manager,7282143,,
Delivery manager,7282066,,
Delivery manager,7281902,,
Delivery manager,7281780,,
Delivery manager,7281602,,
Delivery manager,7281350,,
Delivery manager,7274121,,
Delivery manager,7266052,,
Delivery manager,7264705,,
Delivery manager,7261201,,
Delivery manager,7145403,,
Delivery manager,7144164,,
Delivery manager,7138237,,
Delivery manager,7056200,,
Delivery manager,7054282,,
Delivery manager,7054062,,
Delivery manager,7053348,,
Delivery manager,7006420,,
Delivery manager,7005841,,
Delivery manager,7004012,,
Delivery manager,6891149,,
Delivery manager,6791834,,
Delivery manager,6790916,,
Delivery manager,6788259,,
Delivery manager,6786176,,
Delivery manager,6784474,,
Delivery manager,6782139,,
Delivery manager,6773104,,
Delivery manager,6682580,,
Delivery manager,6664874,,
Delivery manager,6591837,,
Delivery manager,6589266,,
Delivery manager,6459506,,
Delivery manager,6459322,,
Delivery manager,6455985,,
Delivery manager,6454604,,
Delivery manager,6345540,,
Delivery manager,6344852,,
Delivery manager,6342265,,
Delivery manager,6148090,,
Delivery manager,6145068,,
Delivery manager,6140095,,
Delivery manager,6138499,,
Delivery manager,6102041,,
Delivery manager,6031802,,
Delivery manager,6031480,,
Delivery manager,5983530,,
Delivery manager,5982542,,
Delivery manager,5903756,,
Delivery manager,5902843,,
Delivery manager,5902160,,
Delivery manager,5895919,,
Delivery manager,5876884,,
Delivery manager,5802942,,
Delivery manager,5794991,,
Delivery manager,5794441,,
Delivery manager,5689763,,
Delivery manager,5529102,,
Delivery manager,5347046,,
Delivery manager,5346705,,
Delivery manager,5206692,,
Delivery manager,4905129,,
Delivery manager,4877152,,
Delivery manager,4770253,,
Delivery manager,4770083,,
Delivery manager,4769603,,
Delivery manager,4648537,,
Delivery manager,4633779,,
Delivery manager,4385758,,
Delivery manager,4374262,,
Delivery manager,3853081,,
Delivery manager,3041117,,
Delivery manager,0767547,,
Delivery manager,6145283,,
Delivery manager,7215366,,
Delivery manager,7342996,,
Delivery manager,7265748,,
Delivery manager,7261047,,
Delivery manager,6898252,,
Delivery manager,7142980,,
Delivery manager,7371577,,
Delivery manager,7340093,,
Delivery manager,7128399,,
Delivery manager,6036536,,
