metier,identifiant,competences,savoir-etre
Développeur php,147HZPN,Analyser les besoins du client. Concevoir et développer les programmes et applications informatiques. Déterminer des mesures correctives. Rédiger une Spécification Technique de Besoin (STB). Établir un cahier des charges,Réactivité. Autonomie. Rigueur
Développeur php,147GSGC,Analyser les besoins du client. Concevoir et développer les programmes et applications informatiques. Déterminer des mesures correctives. Rédiger une Spécification Technique de Besoin (STB). Établir un cahier des charges,
Développeur php,147FNDB,Analyser des problèmes techniques. Analyser les besoins du client. Concevoir et développer les programmes et applications informatiques. Déterminer des mesures correctives. Établir un cahier des charges. SalonduNumérique,
Développeur php,147CZQK,Analyser des problèmes techniques. Analyser les besoins du client. Concevoir et développer les programmes et applications informatiques. Déterminer des mesures correctives. Établir un cahier des charges,Capacité d'adaptation. Travail en équipe
Développeur php,147CZGN,"PHP 5 à 8, Symfony 2 à 6. Analyser des problèmes techniques. Analyser les besoins du client. Concevoir et développer les programmes et applications informatiques. Déterminer des mesures correctives. Établir un cahier des charges",
Développeur php,147CVPV,Analyser des problèmes techniques. Analyser les besoins du client. Concevoir et développer les programmes et applications informatiques. Déterminer des mesures correctives. Établir un cahier des charges,Réactivité. Autonomie. Rigueur
Développeur php,147CTXR,Analyser des problèmes techniques. Analyser les besoins du client. Concevoir et développer les programmes et applications informatiques. Déterminer des mesures correctives. Établir un cahier des charges,Réactivité. Autonomie. Rigueur
Développeur php,147CLCG,Analyser les besoins du client. Concevoir et développer les programmes et applications informatiques. Déterminer des mesures correctives. Rédiger une Spécification Technique de Besoin (STB). Établir un cahier des charges,
Développeur php,147BJRV,Analyser les besoins du client. Concevoir et développer les programmes et applications informatiques. Déterminer des mesures correctives. Rédiger une Spécification Technique de Besoin (STB). Établir un cahier des charges,
Développeur php,146XJSC,Analyser les besoins du client. Concevoir et développer les programmes et applications informatiques. Déterminer des mesures correctives. Rédiger une Spécification Technique de Besoin (STB). Établir un cahier des charges,Force de proposition. Travail en équipe. Autonomie
Développeur php,146WLXY,Analyser des problèmes techniques. Analyser les besoins du client. Concevoir et développer les programmes et applications informatiques. Déterminer des mesures correctives. Établir un cahier des charges,
