metier,identifiant,competences,savoir-etre
Scrum master,147GQHX,Analyser les besoins du client. Analyser les besoins du client. Certification Scrum Master. Déterminer des mesures correctives. JIRA. Établir un cahier des charges. Concevoir et développer les programmes et applications informatiques. Rédiger une Spécification Technique de Besoin (STB). Accessibilité numérique. Azure. Gestion de projet. Salesforce,Capacité d'adaptation. Travail en équipe. Capacité à fédérer
Scrum master,147FLBH,Analyser les besoins du client. Concevoir et développer les programmes et applications informatiques. Déterminer des mesures correctives. Rédiger une Spécification Technique de Besoin (STB). Établir un cahier des charges. SalonduNumérique,
Scrum master,147CTHR,Analyser les besoins du client. Concevoir et développer les programmes et applications informatiques. Déterminer des mesures correctives. Rédiger une Spécification Technique de Besoin (STB). Établir un cahier des charges,Force de proposition. Sens de la communication. Capacité de décision
Scrum master,146TMJK,,
Scrum master,146TMGB,,
Scrum master,146PBKJ,Analyser les besoins du client. Concevoir et développer les programmes et applications informatiques. Déterminer des mesures correctives. Rédiger une Spécification Technique de Besoin (STB). Établir un cahier des charges,
Scrum master,146LLHN,Analyser les besoins du client. Concevoir et développer les programmes et applications informatiques. Déterminer des mesures correctives. Rédiger une Spécification Technique de Besoin (STB). Établir un cahier des charges,
Scrum master,146DZMX,Analyser les besoins du client. Concevoir et développer les programmes et applications informatiques. Déterminer des mesures correctives. Rédiger une Spécification Technique de Besoin (STB). Établir un cahier des charges,
Scrum master,145ZXXT,Analyser les besoins du client. Concevoir et développer les programmes et applications informatiques. Déterminer des mesures correctives. Rédiger une Spécification Technique de Besoin (STB). Établir un cahier des charges,Sens de la communication. Sens de l'organisation. Rigueur
Scrum master,145SGVC,"Analyser les besoins du client. Animer une réunion. Concevoir et développer les programmes et applications informatiques. Contrôler la réalisation d'une prestation. Définir les moyens humains, matériels et financiers d'un projet. Déterminer des mesures correctives. Langage informatique Python. Langage informatique SQL. Méthodologie Scrum. Rédiger une Spécification Technique de Besoin (STB). Superviser et coordonner les réalisations, études ou développements informatiques (collaborateurs, sous-traitants). Établir un cahier des charges",Curiosité. Autonomie. Rigueur
Scrum master,145NVJM,Analyser les besoins du client. Concevoir et développer les programmes et applications informatiques. Déterminer des mesures correctives. Rédiger une Spécification Technique de Besoin (STB). Établir un cahier des charges,
Scrum master,143CKPG,,Sens de la communication. Sens de l'organisation. Rigueur
Scrum master,7454868,,
Scrum master,7454864,,
Scrum master,7454676,,
Scrum master,7454665,,
Scrum master,7454428,,
Scrum master,7454377,,
Scrum master,7454041,,
Scrum master,7453877,,
Scrum master,7453649,,
Scrum master,7453036,,
