metier,identifiant,competences,savoir-etre
Consultant décisionnel,146VGHY,Analyser les processus métier. Architecture des systèmes d'information. Définir des solutions fonctionnelles. Définir la faisabilité et la rentabilité d'un projet. Définir les évolutions d'un système d'information. Gestion de production. Gestion de projet. Identifier des choix stratégiques d'évolution des systèmes d'information de l'entreprise. Mettre en oeuvre des préconisations fonctionnelles et techniques. Modélisation informatique. Méthode AGILE. Méthodologie SAFe. Méthodologie Scrum. Présenter les évolutions du système d'information au commanditaire. Recenser les besoins du commanditaire. Réaliser un reporting. Établir un cahier des charges,Autonomie. Capacité de décision. Rigueur
Consultant décisionnel,146QJVF,Analyser les processus métier. Définir des solutions fonctionnelles. Définir la faisabilité et la rentabilité d'un projet. Présenter les évolutions du système d'information au commanditaire. Recenser les besoins du commanditaire,Autonomie
Consultant décisionnel,147BJVN,Analyser les processus métier. Définir des solutions fonctionnelles. Définir la faisabilité et la rentabilité d'un projet. Présenter les évolutions du système d'information au commanditaire. Recenser les besoins du commanditaire. SalonduNumérique,Sens de la communication. Autonomie. Sens de l'organisation
Consultant décisionnel,147HSFK,Analyser les besoins du client. Concevoir et développer les programmes et applications informatiques. Déterminer des mesures correctives. Rédiger une Spécification Technique de Besoin (STB). Établir un cahier des charges,Force de proposition. Sens de la communication. Rigueur
Consultant décisionnel,147BLBG,Analyser les processus métier. Définir des solutions fonctionnelles. Définir la faisabilité et la rentabilité d'un projet. Présenter les évolutions du système d'information au commanditaire. Recenser les besoins du commanditaire. SalonduNumérique,Sens de la communication. Autonomie. Sens de l'organisation
Consultant décisionnel,146WKWX,Analyser les processus métier. Définir des solutions fonctionnelles. Définir la faisabilité et la rentabilité d'un projet. Présenter les évolutions du système d'information au commanditaire. Recenser les besoins du commanditaire,
Consultant décisionnel,146WJYX,Analyser les besoins du client. Concevoir et développer les programmes et applications informatiques. Langage informatique SQL. Rédiger une Spécification Technique de Besoin (STB). Établir un cahier des charges,Travail en équipe. Capacité à fédérer. Sens de l'organisation
Consultant décisionnel,146VHSL,Analyser les processus métier. Définir des solutions fonctionnelles. Définir la faisabilité et la rentabilité d'un projet. Présenter les évolutions du système d'information au commanditaire. Recenser les besoins du commanditaire,
Consultant décisionnel,146NDFT,,Travail en équipe. Sens de la communication. Autonomie
Consultant décisionnel,146MZFG,Analyser les processus métier. Définir des solutions fonctionnelles. Définir la faisabilité et la rentabilité d'un projet. Présenter les évolutions du système d'information au commanditaire. Recenser les besoins du commanditaire,
Consultant décisionnel,146DYVK,,
Consultant décisionnel,146BYTS,Analyser les processus métier. Définir des solutions fonctionnelles. Définir la faisabilité et la rentabilité d'un projet. Présenter les évolutions du système d'information au commanditaire. Recenser les besoins du commanditaire,Curiosité. Travail en équipe. Sens de la communication
Consultant décisionnel,145PNTD,Analyser les processus métier. Définir des solutions fonctionnelles. Définir la faisabilité et la rentabilité d'un projet. Présenter les évolutions du système d'information au commanditaire. Recenser les besoins du commanditaire,Capacité de décision. Rigueur. Réactivité
Consultant décisionnel,145KSJH,,
Consultant décisionnel,145KSGV,,
Consultant décisionnel,146NQXB,GDS Amadeus. Analyser les processus métier. Définir des solutions fonctionnelles. Définir la faisabilité et la rentabilité d'un projet. Présenter les évolutions du système d'information au commanditaire. Recenser les besoins du commanditaire. Sabre,
Consultant décisionnel,143RMRK,Analyser les processus métier. Définir des solutions fonctionnelles. Définir la faisabilité et la rentabilité d'un projet. Présenter les évolutions du système d'information au commanditaire. Recenser les besoins du commanditaire,Sens de la communication. Autonomie. Sens de l'organisation
Consultant décisionnel,7453905,,
Consultant décisionnel,7448542,,
Consultant décisionnel,7445838,,
Consultant décisionnel,7443971,,
Consultant décisionnel,7424224,,
Consultant décisionnel,7422275,,
Consultant décisionnel,7341052,,
Consultant décisionnel,7339807,,
Consultant décisionnel,7337803,,
Consultant décisionnel,7324783,,
Consultant décisionnel,7324700,,
Consultant décisionnel,7319686,,
Consultant décisionnel,7318492,,
Consultant décisionnel,7310206,,
Consultant décisionnel,7291898,,
Consultant décisionnel,7271038,,
Consultant décisionnel,7171983,,
Consultant décisionnel,7165821,,
Consultant décisionnel,7165723,,
Consultant décisionnel,7165717,,
Consultant décisionnel,7165422,,
Consultant décisionnel,7165397,,
Consultant décisionnel,7164760,,
Consultant décisionnel,7164436,,
Consultant décisionnel,7164399,,
Consultant décisionnel,7164258,,
Consultant décisionnel,7163920,,
Consultant décisionnel,7163182,,
Consultant décisionnel,7163034,,
Consultant décisionnel,7162967,,
Consultant décisionnel,7162825,,
Consultant décisionnel,7149072,,
Consultant décisionnel,7148435,,
Consultant décisionnel,7145284,,
Consultant décisionnel,7143473,,
Consultant décisionnel,7021625,,
Consultant décisionnel,6763883,,
Consultant décisionnel,6742258,,
Consultant décisionnel,6741064,,
Consultant décisionnel,6738897,,
Consultant décisionnel,6734152,,
Consultant décisionnel,6733859,,
Consultant décisionnel,6733827,,
Consultant décisionnel,6732888,,
Consultant décisionnel,6709005,,
Consultant décisionnel,6708811,,
Consultant décisionnel,6708462,,
Consultant décisionnel,6708324,,
Consultant décisionnel,6707186,,
Consultant décisionnel,6654637,,
Consultant décisionnel,6603169,,
