metier,identifiant,competences,savoir-etre
Consultant informatique,147JRWX,,
Consultant informatique,147GXGR,Analyser les processus métier. Définir des solutions fonctionnelles. Définir la faisabilité et la rentabilité d'un projet. Présenter les évolutions du système d'information au commanditaire. Recenser les besoins du commanditaire,Capacité d'adaptation. Autonomie. Rigueur
Consultant informatique,147DMTJ,Analyser les processus métier. Définir des solutions fonctionnelles,Travail en équipe. Sens de la communication. Sens de l'organisation
Consultant informatique,147CRPN,Analyser les processus métier. Définir des solutions fonctionnelles. Définir la faisabilité et la rentabilité d'un projet. Présenter les évolutions du système d'information au commanditaire. Recenser les besoins du commanditaire,
Consultant informatique,146WGKH,Analyser les processus métier. Définir des solutions fonctionnelles. Définir la faisabilité et la rentabilité d'un projet. Présenter les évolutions du système d'information au commanditaire. Recenser les besoins du commanditaire,
Consultant informatique,146WCBB,Analyser les processus métier. Définir des solutions fonctionnelles. Définir la faisabilité et la rentabilité d'un projet. Présenter les évolutions du système d'information au commanditaire. Recenser les besoins du commanditaire,Autonomie. Sens de l'organisation. Rigueur
Consultant informatique,146TDSH,"Connaissance solides réseaux, XML, algorithmie. Connaissance solides sur Linux. connaissances solides Oracle, Tomcat. sens du service client. Analyser les processus métier. Définir des solutions fonctionnelles. Définir la faisabilité et la rentabilité d'un projet. Présenter les évolutions du système d'information au commanditaire. Recenser les besoins du commanditaire. Connaissances en échanges de données (EDI, EAI)",Réactivité. Travail en équipe. Rigueur
Consultant informatique,146KHBG,Définir des solutions fonctionnelles. Présenter les évolutions du système d'information au commanditaire. Recenser les besoins du commanditaire. Analyser les processus métier. Définir la faisabilité et la rentabilité d'un projet,Sens de la communication. Autonomie. Rigueur
Consultant informatique,146JSBJ,Analyser les processus métier. Architecture réseau. Définir des solutions fonctionnelles. Définir la faisabilité et la rentabilité d'un projet. Présenter les évolutions du système d'information au commanditaire. Recenser les besoins du commanditaire. Réseaux informatiques et télécoms,Force de proposition. Travail en équipe. Autonomie
Consultant informatique,146HNJM,,Réactivité. Sens de la communication. Autonomie
Consultant informatique,146HNGC,,Réactivité. Sens de la communication. Autonomie
Consultant informatique,146BWBX,Analyser les processus métier. Définir des solutions fonctionnelles. Définir la faisabilité et la rentabilité d'un projet. Présenter les évolutions du système d'information au commanditaire. Recenser les besoins du commanditaire,Autonomie. Sens de l'organisation. Rigueur
Consultant informatique,145XXBR,Analyser les processus métier. Définir des solutions fonctionnelles. Définir la faisabilité et la rentabilité d'un projet. Recenser les besoins du commanditaire. Présenter les évolutions du système d'information au commanditaire,Force de proposition. Capacité de décision. Sens de l'organisation
Consultant informatique,147JDYX,Analyser des problèmes techniques. Analyser les besoins du client. Concevoir et développer les programmes et applications informatiques. Déterminer des mesures correctives. Déterminer les phases et procédures de tests techniques et fonctionnels de programmes et applications informatiques,
Consultant informatique,147GHCJ,Analyser des problèmes techniques. Analyser les besoins du client. Concevoir et développer les programmes et applications informatiques. Déterminer des mesures correctives. Programmation informatique. Programmer dans un langage informatique spécifique. Algorithmique. Développer une application en lien avec une base de données. Programmation logicielle,Travail en équipe. Autonomie. Rigueur
Consultant informatique,146VSDR,Analyser les processus métier. Définir des solutions fonctionnelles. Définir la faisabilité et la rentabilité d'un projet. Présenter les évolutions du système d'information au commanditaire. Recenser les besoins du commanditaire,
Consultant informatique,146NYQY,Négocier un contrat. Suivre la réalisation d'une prestation technique. Établir un contrat de vente. Établir un devis,
Consultant informatique,146NTWQ,"Mener ou accompagner un projet d'intégration (implémentation) ou de développement de solutions matérielles, logicielles. Principes d'intégration de matériels et de logiciels",Capacité d'adaptation. Réactivité. Rigueur
Consultant informatique,146BFYG,"Analyser les processus métier. Déployer des applications. Mettre en oeuvre des préconisations fonctionnelles et techniques. Procéder aux phases de tests et de recettes des applications développées. Présenter les évolutions du système d'information au commanditaire. Recenser les besoins du commanditaire. Réaliser des études d'urbanisme des systèmes d'information de l'entreprise. Traiter l'information (collecter, classer et mettre à jour). Architecture des systèmes d'information. Définir des solutions fonctionnelles. Définir la faisabilité et la rentabilité d'un projet. Définir les évolutions d'un système d'information. Former du personnel à des procédures et techniques. Modélisation informatique. Méthodes d'analyse (systémique, fonctionnelle, de risques, ...). Règlement Général européen sur la Protection des Données (RGPD). Technologie de l'internet. Établir un cahier des charges",Capacité d'adaptation. Sens de la communication. Autonomie
Consultant informatique,145XSHB,Analyser les besoins du client. Concevoir et développer les programmes et applications informatiques. Déterminer des mesures correctives. Rédiger une Spécification Technique de Besoin (STB). Établir un cahier des charges,
Consultant informatique,147JVBG,Analyser les processus métier. Définir des solutions fonctionnelles. Définir la faisabilité et la rentabilité d'un projet. Présenter les évolutions du système d'information au commanditaire. Recenser les besoins du commanditaire,
