metier,identifiant,competences,savoir-etre
Technicien télécom,146JHXQ,"Assembler les éléments de l'équipement. Assister un utilisateur à distance. Configurer ou paramétrer l'équipement de télécommunication, de courants faibles et effectuer les essais fonctionnels. Connecter une boîte de raccordements. Conseiller une clientèle ou un public. Identifier les matériels à intégrer. Informatique. Installation de téléphonie numérique. Installation de téléphonie sans fils. Installer l'équipement sur le site et le connecter aux réseaux extérieurs. Organisation d'une baie de brassage. Protocoles et normes télécoms. Protocoles IP. Renseigner les supports de suivi d'intervention et transmettre les informations au service concerné. Réseaux ADSL. Réseaux de fibre optique Fiber To The Home (FTTH). Réseaux Digital Subscriber Line (DSL). Réseaux Digital System for Mobile Communications (DECT). Réseaux informatiques et télécoms. Réseaux Local Area Network (LAN). Réseaux Private Automatic Branch eXchange (PABX). Vérifier la conformité de l'installation sur site, help desk, hot line. Équipements de télécommunication",Autonomie. Sens de l'organisation. Rigueur
Technicien télécom,146FXNB,Analyser les besoins du client. Analyser les données économiques du projet. Définir la faisabilité et la rentabilité d'un projet. Définir un avant-projet. Élaborer des solutions techniques et financières,
Technicien télécom,146FBBC,Assembler les éléments de l'équipement. Chiffrage/calcul de coût. Connecter une boîte de raccordements. Identifier les matériels à intégrer. Installer l'équipement sur le site et le connecter aux réseaux extérieurs,
Technicien télécom,146CBKP,"Actualiser et faire évoluer les équipements de télécommunication ou de courants faibles. Assembler les éléments de l'équipement. Assister un utilisateur à distance. Configurer ou paramétrer l'équipement de télécommunication, de courants faibles et effectuer les essais fonctionnels. Connecter une boîte de raccordements. Conseiller une clientèle ou un public. Identifier les matériels à intégrer. Informatique. Installer l'équipement sur le site et le connecter aux réseaux extérieurs. Intervenir sur des réseaux. Remettre les systèmes en état de fonctionnement par échange standard ou réfection d'ensemble ou de sous-ensemble. Réseaux informatiques et télécoms. Systèmes de sécurité-incendie. Équipements de télécommunication",
Technicien télécom,146CBFT,Assembler les éléments de l'équipement. Chiffrage/calcul de coût. Connecter une boîte de raccordements. Identifier les matériels à intégrer. Installer l'équipement sur le site et le connecter aux réseaux extérieurs. Assister et / ou aider un client. Connaissances en câblage. informatique. Intervenir sur des réseaux. Systèmes d'alarme. systèmes de vidéo surveillance IP. Systèmes téléphoniques. Téléphonie / Routeurs / Switch. Équipements de télécommunication,Capacité d'adaptation. Autonomie
Technicien télécom,146BHZC,,
Technicien télécom,145YXBV,"Concevoir et décliner la mise en oeuvre de la stratégie technique de l'opérateur télécoms. Concevoir le design, les spécifications ou configurations d'un réseau télécoms. Concevoir un projet télécom. Conseiller un utilisateur dans des choix de technologies, de matériels, de logiciels. Recueillir et définir les besoins de l'entreprise, des clients, des utilisateurs en matière de systèmes télécoms (capacité, fiabilité, sécurité, ...). Réseaux de télécommunication. Réseaux informatiques et télécoms",Prise de recul. Réactivité. Sens de l'organisation
Technicien télécom,145XPVH,Assembler les éléments de l'équipement. Chiffrage/calcul de coût. Connecter une boîte de raccordements. Identifier les matériels à intégrer. Installer l'équipement sur le site et le connecter aux réseaux extérieurs,Sens de la communication. Autonomie. Sens de l'organisation
Technicien télécom,145XNTH,"Assembler les éléments de l'équipement. Chiffrage/calcul de coût. Connecter une boîte de raccordements. Identifier les matériels à intégrer. Identifier les phases d'intervention à partir des informations du diagnostic help desk, de la hot line, des dossiers constructeur. Installer l'équipement sur le site et le connecter aux réseaux extérieurs",
Technicien télécom,145XKMW,Assembler les éléments de l'équipement. Connecter une boîte de raccordements. Identifier les matériels à intégrer. Installer l'équipement sur le site et le connecter aux réseaux extérieurs. Renseigner les supports de suivi d'intervention et transmettre les informations au service concerné,Sens de la communication. Autonomie. Sens de l'organisation
Technicien télécom,144TGZB,Assembler les éléments de l'équipement. Connecter une boîte de raccordements. Identifier les matériels à intégrer. Installer l'équipement sur le site et le connecter aux réseaux extérieurs. Remettre les systèmes en état de fonctionnement par échange standard ou réfection d'ensemble ou de sous-ensemble,
Technicien télécom,147JZPF,Assembler les éléments de l'équipement. Connecter une boîte de raccordements. Identifier les matériels à intégrer. Installer l'équipement sur le site et le connecter aux réseaux extérieurs. Renseigner les supports de suivi d'intervention et transmettre les informations au service concerné,
Technicien télécom,147JXCF,,
Technicien télécom,147HLPH,Assembler les éléments de l'équipement. Connecter une boîte de raccordements. Identifier les matériels à intégrer. Installer l'équipement sur le site et le connecter aux réseaux extérieurs. Intervenir sur des réseaux,
Technicien télécom,147FSJS,Assembler les éléments de l'équipement. Connecter une boîte de raccordements. Identifier les matériels à intégrer. Installer l'équipement sur le site et le connecter aux réseaux extérieurs,
Technicien télécom,147DBVZ,,
Technicien télécom,146TFYZ,Assembler les éléments de l'équipement. Connecter une boîte de raccordements. Identifier les matériels à intégrer. Installer l'équipement sur le site et le connecter aux réseaux extérieurs. Intervenir sur des réseaux,Sens de la communication. Autonomie. Rigueur
