metier,identifiant,competences,savoir-etre
Data analyst,147JVSV,"Adapter les outils de traitement statistique de données. Définir les méthodes et les outils de traitement de l'information. Présenter et diffuser les résultats des études réalisées. Réaliser une étude. Rédiger l'information produite (études, synthèses, rapports, bulletins, ...) et établir des prévisions, des évaluations, des recommandations, des perspectives, ...",Autonomie
Data analyst,147JLTD,"Adapter les outils de traitement statistique de données. Définir les méthodes et les outils de traitement de l'information. Présenter et diffuser les résultats des études réalisées. Réaliser une étude. Rédiger l'information produite (études, synthèses, rapports, bulletins, ...) et établir des prévisions, des évaluations, des recommandations, des perspectives, ...",
Data analyst,147HFYR,"Adapter les outils de traitement statistique de données. Présenter et diffuser les résultats des études réalisées. Réaliser une veille documentaire (collecte, analyse etc.). Réaliser une étude. Rédiger l'information produite (études, synthèses, rapports, bulletins, ...) et établir des prévisions, des évaluations, des recommandations, des perspectives, ...",
Data analyst,147HBXY,Adapter les outils de traitement statistique de données. Définir les méthodes et les outils de traitement de l'information. Présenter et diffuser les résultats des études réalisées. Réaliser une étude,Travail en équipe. Autonomie. Sens de l'organisation
Data analyst,147GLWN,"Adapter les outils de traitement statistique de données. Définir les méthodes et les outils de traitement de l'information. Présenter et diffuser les résultats des études réalisées. Réaliser une étude. Rédiger l'information produite (études, synthèses, rapports, bulletins, ...) et établir des prévisions, des évaluations, des recommandations, des perspectives, ...",Force de proposition. Sens de la communication. Autonomie
Data analyst,147FVRF,,Force de proposition. Sens de la communication. Autonomie
Data analyst,147FKTV,,
Data analyst,147FBLY,,
Data analyst,147DCLN,Adapter les outils de traitement statistique de données. Analyse financière. Analyser des données massives - Big data. Assister une structure dans l'interprétation et l'analyse d'une étude. Réaliser un modèle de prévision,Force de proposition. Gestion du stress. Capacité de décision
Data analyst,147CMJX,"Adapter les outils de traitement statistique de données. Définir les méthodes et les outils de traitement de l'information. Présenter et diffuser les résultats des études réalisées. Réaliser une étude. Rédiger l'information produite (études, synthèses, rapports, bulletins, ...) et établir des prévisions, des évaluations, des recommandations, des perspectives, ...",
Data analyst,147CMHR,"Diagnostiquer la nature et l'origine des incidents et mettre en oeuvre les mesures correctives. Effectuer une assistance technique. Installer et intégrer le matériel (station, équipement réseau, périphériques, ...) dans l'environnement de production et configurer les ressources logiques et physiques. Réaliser la maintenance de premier niveau de matériel informatique. Superviser et vérifier l'état des ressources informatiques, réaliser les sauvegardes et les archivages de données",
Data analyst,147CHZD,"Adapter les outils de traitement statistique de données. Définir les méthodes et les outils de traitement de l'information. Présenter et diffuser les résultats des études réalisées. Réaliser une étude. Rédiger l'information produite (études, synthèses, rapports, bulletins, ...) et établir des prévisions, des évaluations, des recommandations, des perspectives, ...",Capacité d'adaptation. Curiosité. Prise de recul
Data analyst,147CGJW,"Adapter les outils de traitement statistique de données. Définir les méthodes et les outils de traitement de l'information. Présenter et diffuser les résultats des études réalisées. Réaliser une étude. Rédiger l'information produite (études, synthèses, rapports, bulletins, ...) et établir des prévisions, des évaluations, des recommandations, des perspectives, ...",Curiosité. Travail en équipe. Rigueur
Data analyst,146YQKJ,"Adapter les outils de traitement statistique de données. Définir les méthodes et les outils de traitement de l'information. Présenter et diffuser les résultats des études réalisées. Réaliser une étude. Rédiger l'information produite (études, synthèses, rapports, bulletins, ...) et établir des prévisions, des évaluations, des recommandations, des perspectives, ...",
Data analyst,146YGKF,"Adapter les outils de traitement statistique de données. Définir les méthodes et les outils de traitement de l'information. Présenter et diffuser les résultats des études réalisées. Réaliser une étude. Rédiger l'information produite (études, synthèses, rapports, bulletins, ...) et établir des prévisions, des évaluations, des recommandations, des perspectives, ...",Curiosité. Gestion du stress. Autonomie
Data analyst,146XTKL,"Adapter les outils de traitement statistique de données. Définir les méthodes et les outils de traitement de l'information. Présenter et diffuser les résultats des études réalisées. Réaliser une étude. Rédiger l'information produite (études, synthèses, rapports, bulletins, ...) et établir des prévisions, des évaluations, des recommandations, des perspectives, ...",Travail en équipe. Autonomie. Sens de l'organisation
Data analyst,146XQVD,"Adapter les outils de traitement statistique de données. Définir les méthodes et les outils de traitement de l'information. Présenter et diffuser les résultats des études réalisées. Réaliser une étude. Rédiger l'information produite (études, synthèses, rapports, bulletins, ...) et établir des prévisions, des évaluations, des recommandations, des perspectives, ...",Capacité d'adaptation. Autonomie. Rigueur
Data analyst,146WQZN,"Adapter les outils de traitement statistique de données. Définir les méthodes et les outils de traitement de l'information. Présenter et diffuser les résultats des études réalisées. Réaliser une étude. Rédiger l'information produite (études, synthèses, rapports, bulletins, ...) et établir des prévisions, des évaluations, des recommandations, des perspectives, ...",
Data analyst,146TMLK,,
Data analyst,146SCWH,"Définir les méthodes et les outils de traitement de l'information. Adapter les outils de traitement statistique de données. Présenter et diffuser les résultats des études réalisées. Réaliser une étude. Rédiger l'information produite (études, synthèses, rapports, bulletins, ...) et établir des prévisions, des évaluations, des recommandations, des perspectives, ...",Capacité d'adaptation. Autonomie. Sens de l'organisation
Data analyst,146RMNX,"Adapter les outils de traitement statistique de données. Définir les méthodes et les outils de traitement de l'information. Présenter et diffuser les résultats des études réalisées. Réaliser une étude. Rédiger l'information produite (études, synthèses, rapports, bulletins, ...) et établir des prévisions, des évaluations, des recommandations, des perspectives, ...",Curiosité. Autonomie. Rigueur
Data analyst,146RBGM,"Adapter les outils de traitement statistique de données. Présenter et diffuser les résultats des études réalisées. Réaliser une veille documentaire (collecte, analyse etc.). Réaliser une étude. Rédiger l'information produite (études, synthèses, rapports, bulletins, ...) et établir des prévisions, des évaluations, des recommandations, des perspectives, ...",
Data analyst,146PQBW,"Adapter les outils de traitement statistique de données. Définir les méthodes et les outils de traitement de l'information. Présenter et diffuser les résultats des études réalisées. Réaliser une étude. Rédiger l'information produite (études, synthèses, rapports, bulletins, ...) et établir des prévisions, des évaluations, des recommandations, des perspectives, ...",Travail en équipe. Autonomie. Rigueur
Data analyst,146MDZG,"Adapter les outils de traitement statistique de données. Analyse statistique. Définir les méthodes et les outils de traitement de l'information. Logiciels de gestion de base de données. Logiciels de modélisation et simulation. Logiciels de statistiques. Présenter et diffuser les résultats des études réalisées. Réaliser une étude. Réaliser une étude quantitative. Rédiger l'information produite (études, synthèses, rapports, bulletins, ...) et établir des prévisions, des évaluations, des recommandations, des perspectives, ...",Capacité d'adaptation. Autonomie. Rigueur
Data analyst,146LDCM,"Adapter les outils de traitement statistique de données. Définir les méthodes et les outils de traitement de l'information. Présenter et diffuser les résultats des études réalisées. Réaliser une étude. Rédiger l'information produite (études, synthèses, rapports, bulletins, ...) et établir des prévisions, des évaluations, des recommandations, des perspectives, ...",
Data analyst,146KXKC,"Adapter les outils de traitement statistique de données. Définir les méthodes et les outils de traitement de l'information. Présenter et diffuser les résultats des études réalisées. Réaliser une étude. Rédiger l'information produite (études, synthèses, rapports, bulletins, ...) et établir des prévisions, des évaluations, des recommandations, des perspectives, ...",Sens de la communication. Autonomie. Sens de l'organisation
Data analyst,146JSDZ,"Excellente maîtrise de Microsoft Excel. Excellente maîtrise de Microsoft Power BI. Langage de programmation (idéal Python). Adapter les outils de traitement statistique de données. Définir les méthodes et les outils de traitement de l'information. Présenter et diffuser les résultats des études réalisées. Réaliser une étude. Rédiger l'information produite (études, synthèses, rapports, bulletins, ...) et établir des prévisions, des évaluations, des recommandations, des perspectives, ...",Autonomie. Sens de l'organisation. Rigueur
Data analyst,146JQRP,"Adapter les outils de traitement statistique de données. Définir les méthodes et les outils de traitement de l'information. Présenter et diffuser les résultats des études réalisées. Réaliser une étude. Rédiger l'information produite (études, synthèses, rapports, bulletins, ...) et établir des prévisions, des évaluations, des recommandations, des perspectives, ...",Capacité d'adaptation. Autonomie. Rigueur
Data analyst,146HCVS,"Analyser des données massives - Big data. Assister une structure dans l'interprétation et l'analyse d'une étude. Big data analytics. Logiciels de gestion de base de données. Outils de Business Intelligence (BI). Présenter et diffuser les résultats des études réalisées. Adapter les outils de traitement statistique de données. Algorithmique. Analyse statistique. Logiciels de modélisation et simulation. Logiciels de statistiques. Modélisation statistique. Réaliser un modèle de prévision. Réaliser une étude. Rédiger l'information produite (études, synthèses, rapports, bulletins, ...) et établir des prévisions, des évaluations, des recommandations, des perspectives, ...",Force de proposition. Autonomie. Rigueur
