metier,identifiant,competences,savoir-etre
Développeur javascript,147JQZP,Analyser les besoins du client. Concevoir et développer les programmes et applications informatiques. Déterminer des mesures correctives. Rédiger une Spécification Technique de Besoin (STB). Établir un cahier des charges,Curiosité. Travail en équipe. Autonomie
Développeur javascript,147DYZV,Analyser les besoins du client. Concevoir et développer les programmes et applications informatiques. Déterminer des mesures correctives. Rédiger une Spécification Technique de Besoin (STB). Établir un cahier des charges,Capacité d'adaptation. Réactivité. Rigueur
Développeur javascript,147DYDW,Analyser les besoins du client. Concevoir et développer les programmes et applications informatiques. Déterminer des mesures correctives. Rédiger une Spécification Technique de Besoin (STB). Établir un cahier des charges,Capacité d'adaptation. Force de proposition. Rigueur
Développeur javascript,147CZQK,Analyser des problèmes techniques. Analyser les besoins du client. Concevoir et développer les programmes et applications informatiques. Déterminer des mesures correctives. Établir un cahier des charges,Capacité d'adaptation. Travail en équipe
Développeur javascript,146QHQW,Analyser les besoins du client. Concevoir et développer les programmes et applications informatiques. Déterminer des mesures correctives. Rédiger une Spécification Technique de Besoin (STB). Établir un cahier des charges,Travail en équipe. Sens de la communication. Autonomie
Développeur javascript,145GGYN,Analyser les besoins du client. Concevoir et développer les programmes et applications informatiques. Déterminer des mesures correctives. Rédiger une Spécification Technique de Besoin (STB). Établir un cahier des charges,Réactivité. Gestion du stress. Autonomie
Développeur javascript,147DVKW,Algorithmique. Analyser des problèmes techniques. Déterminer des mesures correctives. Gestion de configuration. Gestion de projet. Marketing / Mercatique. Planifier les étapes d'un projet. Procédures d'appels d'offres. Promouvoir un projet. Réaliser un appel d'offre,Réactivité. Autonomie. Rigueur
Développeur javascript,146ZQWF,Analyser les besoins du client. Concevoir et développer les programmes et applications informatiques. Déterminer des mesures correctives. Rédiger une Spécification Technique de Besoin (STB). Établir un cahier des charges,Réactivité. Sens de la communication. Autonomie
Développeur javascript,146NFKC,Concevoir et développer les programmes et applications informatiques. Déterminer des mesures correctives. Rédiger une Spécification Technique de Besoin (STB). Établir un cahier des charges,Force de proposition. Autonomie. Rigueur
Développeur javascript,146LTRP,Analyser les besoins du client. Déterminer des mesures correctives. Concevoir et développer les programmes et applications informatiques. Rédiger une Spécification Technique de Besoin (STB). Établir un cahier des charges,Capacité d'adaptation. Autonomie. Sens de l'organisation
