metier,identifiant,competences,savoir-etre
Analyste programmeur,147JQKM,Analyser les besoins du client. Concevoir et développer les programmes et applications informatiques. Déterminer des mesures correctives. Rédiger une Spécification Technique de Besoin (STB). Établir un cahier des charges,
Analyste programmeur,147JKFV,Analyser les besoins du client. Concevoir et développer les programmes et applications informatiques. Déterminer des mesures correctives. Rédiger une Spécification Technique de Besoin (STB). Établir un cahier des charges,
Analyste programmeur,147GPMJ,"Algorithmique. Analyser des problèmes techniques. Déterminer des mesures correctives. Langage informatique WLangage. Analyser les besoins du client. Concevoir et développer les programmes et applications informatiques. Déterminer des choix techniques d'architecture logicielle et matérielle et sélectionner des technologies, matériels, logiciels, configurations. Développer une application en lien avec une base de données. Gestion de projet. Intervenir en informatique de gestion. Méthode AGILE. Planifier les étapes d'un projet. Programmation informatique. Programmation logicielle. Présenter un produit fini à son commanditaire. Réaliser des supports techniques. Réaliser un prototype de la solution technique pour validation par le donneur d'ordres (configuration type, ...). Rédiger une Spécification Technique de Besoin (STB). Traiter l'information (collecter, classer et mettre à jour). Établir un cahier des charges",Force de proposition. Travail en équipe. Autonomie
Analyste programmeur,147FNWP,Analyser les besoins du client. Concevoir et développer les programmes et applications informatiques. Déterminer des mesures correctives. Rédiger une Spécification Technique de Besoin (STB). Établir un cahier des charges,
Analyste programmeur,147FNVQ,Analyser les besoins du client. Concevoir et développer les programmes et applications informatiques. Déterminer des mesures correctives. Rédiger une Spécification Technique de Besoin (STB). Établir un cahier des charges,
Analyste programmeur,147FNHK,Analyser les besoins du client. Concevoir et développer les programmes et applications informatiques. Déterminer des mesures correctives. Rédiger une Spécification Technique de Besoin (STB). Établir un cahier des charges,
Analyste programmeur,147DRVV,Analyser les besoins du client. Concevoir et développer les programmes et applications informatiques. Déterminer des mesures correctives. Rédiger une Spécification Technique de Besoin (STB). Établir un cahier des charges,
Analyste programmeur,146ZZCD,Analyser les besoins du client. Concevoir et développer les programmes et applications informatiques. Déterminer des mesures correctives. Rédiger une Spécification Technique de Besoin (STB). Établir un cahier des charges,Sens de la communication. Autonomie. Rigueur
Analyste programmeur,146RWFF,"Analyser les besoins du client. Concevoir et développer les programmes et applications informatiques. Déterminer des mesures correctives. Langage informatique C#. Rédiger une Spécification Technique de Besoin (STB). Traiter l'information (collecter, classer et mettre à jour). Établir un cahier des charges",Capacité d'adaptation. Gestion du stress. Travail en équipe
Analyste programmeur,146QTNY,Analyser les besoins du client. Concevoir et développer les programmes et applications informatiques. Déterminer des mesures correctives. Langage informatique PHP. Langage informatique SQL. Langages de programmation informatique. Programmation logicielle. Programmer dans un langage informatique spécifique. Réaliser des supports techniques. Établir un cahier des charges. technologies IBM i,Travail en équipe. Sens de la communication. Rigueur
Analyste programmeur,146KXTY,"Architecture des systèmes d'information. Gestion de configuration. Langage informatique ASP.NET. Langage informatique C#. Langage informatique C/C++. Langage informatique CSS. Langage informatique J2EE. Langage informatique Java. Langage informatique PHP. Langage informatique Python. Langage informatique Script Shell. Langage informatique SQL. Langage informatique VB.NET. Langage informatique Visual Basic. Langage informatique WLangage. Traiter l'information (collecter, classer et mettre à jour)",Réactivité. Travail en équipe. Autonomie
Analyste programmeur,146KXPC,Architecture des systèmes d'information. Déterminer des mesures correctives. Gestion de configuration. Langage informatique ASP.NET. Langage informatique C#. Langage informatique C/C++. Langage informatique CSS. Langage informatique J2EE. Langage informatique Java. Langage informatique PHP. Langage informatique Python. Langage informatique Script Shell. Langage informatique SQL. Langage informatique VB.NET. Langage informatique Visual Basic. Langage informatique WLangage,Réactivité. Sens de la communication. Autonomie
Analyste programmeur,146KXLZ,Architecture des systèmes d'information. Gestion de configuration. Langage informatique ASP.NET. Langage informatique C#. Langage informatique C/C++. Langage informatique CSS. Langage informatique J2EE. Langage informatique Java. Langage informatique PHP. Langage informatique Python. Langage informatique Script Shell. Langage informatique SQL. Langage informatique VB.NET. Langage informatique Visual Basic. Langage informatique WLangage. Tableur Utilisation experte. Traitement de texte Utilisation experte,Travail en équipe. Autonomie. Rigueur
Analyste programmeur,146HRGD,Analyser les besoins du client. Concevoir et développer les programmes et applications informatiques. Déterminer des mesures correctives. Rédiger une Spécification Technique de Besoin (STB). Établir un cahier des charges,
Analyste programmeur,146GDQN,Analyser les besoins du client. Concevoir et développer les programmes et applications informatiques. Déterminer des mesures correctives. Rédiger une Spécification Technique de Besoin (STB). Établir un cahier des charges,Force de proposition. Autonomie. Rigueur
Analyste programmeur,146BGCM,Analyser les besoins du client. Concevoir et développer les programmes et applications informatiques. Déterminer des mesures correctives. Rédiger une Spécification Technique de Besoin (STB). Établir un cahier des charges,Réactivité. Autonomie. Rigueur
Analyste programmeur,145XMCR,"Analyser les besoins du client. Concevoir et développer les programmes et applications informatiques. Réaliser un prototype de la solution technique pour validation par le donneur d'ordres (configuration type, ...). Rédiger une Spécification Technique de Besoin (STB). Établir un cahier des charges",
Analyste programmeur,145VFDW,,
Analyste programmeur,145RBSV,Concevoir et développer les programmes et applications informatiques. Développer une application en lien avec une base de données. Programmation informatique,Force de proposition. Travail en équipe
Analyste programmeur,145PQRS,Méthode AGILE. Analyser des problèmes techniques. Analyser les besoins du client. Concevoir et développer les programmes et applications informatiques. Déterminer des mesures correctives. Langage informatique ASP.NET. Langage informatique C#. Langage informatique CSS. Langage informatique SQL. Langage informatique VB.NET. Rédiger une Spécification Technique de Besoin (STB). Systèmes d'exploitation informatique. Établir un cahier des charges,
Analyste programmeur,144XSSQ,Analyser les besoins du client. Concevoir et développer les programmes et applications informatiques. Déterminer des mesures correctives. Intervenir en informatique de gestion. Établir un cahier des charges,Capacité d'adaptation. Réactivité. Autonomie
Analyste programmeur,139WFSL,Analyser les besoins du client. Concevoir et développer les programmes et applications informatiques. Déterminer des mesures correctives. Rédiger une Spécification Technique de Besoin (STB). Établir un cahier des charges,Capacité d'adaptation. Autonomie. Sens de l'organisation
Analyste programmeur,139WFBD,Analyser les besoins du client. Concevoir et développer les programmes et applications informatiques. Déterminer des mesures correctives. Rédiger une Spécification Technique de Besoin (STB). Établir un cahier des charges,Capacité d'adaptation. Prise de recul. Autonomie
Analyste programmeur,139GLBF,Analyser les besoins du client. Concevoir et développer les programmes et applications informatiques. Déterminer des mesures correctives. Rédiger une Spécification Technique de Besoin (STB). Établir un cahier des charges,
Analyste programmeur,139GKTC,Analyser les besoins du client. Concevoir et développer les programmes et applications informatiques. Déterminer des mesures correctives. Rédiger une Spécification Technique de Besoin (STB). Établir un cahier des charges,Capacité d'adaptation. Travail en équipe. Sens de l'organisation
Analyste programmeur,138WMCL,certifications Office 365 / SharePoint.. Analyser les besoins du client. Concevoir et développer les programmes et applications informatiques. Déterminer des mesures correctives. Rédiger une Spécification Technique de Besoin (STB). Établir un cahier des charges,Capacité d'adaptation. Sens de la communication. Autonomie
Analyste programmeur,136WRBM,"Microsoft (M365, Azure) et AWS. Langage informatique ASP.NET",Travail en équipe. Capacité à fédérer. Sens de la communication
Analyste programmeur,147KGHH,Analyser les besoins du client. Concevoir et développer les programmes et applications informatiques. Déterminer des mesures correctives. Développer une application en lien avec une base de données. Informatique industrielle. Progiciels de Gestion Intégrée (PGI) / Enterprise Resource Planning (ERP). Programmation informatique. Programmation logicielle. Réaliser la mise en production de solution logicielle dans un environnement d'exploitation. Rédiger une Spécification Technique de Besoin (STB). Établir un cahier des charges,
Analyste programmeur,147HTCB,Analyser les besoins du client. Concevoir et développer les programmes et applications informatiques. Déterminer des mesures correctives. Rédiger une Spécification Technique de Besoin (STB). Établir un cahier des charges. Expérience en bases de données (SQL). Expérience en interface graphique WPF. Maitrise du langage C# (C++ également pertinent,Travail en équipe. Sens de la communication. Autonomie
Analyste programmeur,146TQTH,"Consigner les résultats de mesures et d'analyses et renseigner les supports de suivi. Contrôler l'application de procédures Qualité, Hygiène, Sécurité et Environnement (QHSE). Mesurer et analyser, relever les données et les transmettre. Préparer les produits et les appareils de mesures et d'analyses et contrôler leur conformité d'étalonnage et de fonctionnement. Réceptionner les échantillons ou effectuer les prélèvements de matières, de produits",
Analyste programmeur,136WRTD,"Microsoft (M365, Azure) et AWS. Langage informatique ASP.NET",Travail en équipe. Capacité à fédérer. Sens de la communication
Analyste programmeur,147BTXC,Analyser les besoins du client. Concevoir et développer les programmes et applications informatiques. Déterminer des mesures correctives. Rédiger une Spécification Technique de Besoin (STB). Établir un cahier des charges. DCS (Fobxoro/Delta V/ABB). Schneider. Siemens. Wonderware,Curiosité. Autonomie. Rigueur
Analyste programmeur,146ZFRG,Analyser les besoins du client. Concevoir et développer les programmes et applications informatiques. Déterminer des mesures correctives. Rédiger une Spécification Technique de Besoin (STB). Établir un cahier des charges,
Analyste programmeur,146DYCK,Analyser les besoins du client. Concevoir et développer les programmes et applications informatiques. Déterminer des mesures correctives. Rédiger une Spécification Technique de Besoin (STB). Établir un cahier des charges,Travail en équipe. Autonomie. Rigueur
Analyste programmeur,146TVBZ,"Consigner les résultats de mesures et d'analyses et renseigner les supports de suivi. Contrôler l'application de procédures Qualité, Hygiène, Sécurité et Environnement (QHSE). Mesurer et analyser, relever les données et les transmettre. Préparer les produits et les appareils de mesures et d'analyses et contrôler leur conformité d'étalonnage et de fonctionnement. Réceptionner les échantillons ou effectuer les prélèvements de matières, de produits",
Analyste programmeur,146YQKH,Analyser les besoins du client. Concevoir et développer les programmes et applications informatiques. Déterminer des mesures correctives. Rédiger une Spécification Technique de Besoin (STB). Établir un cahier des charges,
Analyste programmeur,7449472,,
Analyste programmeur,7449469,,
Analyste programmeur,7418627,,
Analyste programmeur,7388723,,
Analyste programmeur,7367933,,
Analyste programmeur,7344567,,
Analyste programmeur,7336392,,
Analyste programmeur,7312738,,
Analyste programmeur,7312479,,
Analyste programmeur,7311775,,
Analyste programmeur,7310609,,
Analyste programmeur,7266660,,
Analyste programmeur,7266391,,
Analyste programmeur,7210284,,
Analyste programmeur,7199072,,
Analyste programmeur,7128071,,
Analyste programmeur,7119886,,
Analyste programmeur,7106964,,
Analyste programmeur,7103705,,
Analyste programmeur,7103671,,
Analyste programmeur,7100076,,
Analyste programmeur,7062346,,
Analyste programmeur,7060419,,
Analyste programmeur,7059997,,
Analyste programmeur,7057202,,
Analyste programmeur,7056764,,
Analyste programmeur,7056455,,
Analyste programmeur,7055251,,
Analyste programmeur,7055179,,
Analyste programmeur,7005111,,
Analyste programmeur,7004653,,
Analyste programmeur,7001002,,
Analyste programmeur,6955956,,
Analyste programmeur,6947860,,
Analyste programmeur,6892938,,
Analyste programmeur,6849363,,
Analyste programmeur,6849345,,
Analyste programmeur,6849107,,
Analyste programmeur,6849086,,
Analyste programmeur,6826360,,
Analyste programmeur,6826301,,
Analyste programmeur,6822223,,
Analyste programmeur,6822118,,
Analyste programmeur,6821902,,
