metier,identifiant,competences,savoir-etre
Architecte logiciel,147BXLS,Analyser les besoins du client. Concevoir et développer les programmes et applications informatiques. Déterminer des mesures correctives. Rédiger une Spécification Technique de Besoin (STB). Établir un cahier des charges,
Architecte logiciel,146TKNX,Contrôler une installation électrique. Diagnostiquer et localiser une panne ou une défaillance d'origine électrique ou les non-conformités réglementaires. Détecter un dysfonctionnement. Déterminer des mesures correctives. Réparer une pièce défectueuse,
Architecte logiciel,145XBVV,Analyser les besoins du client. Concevoir et développer les programmes et applications informatiques. Déterminer des mesures correctives. Rédiger une Spécification Technique de Besoin (STB). Établir un cahier des charges,
Architecte logiciel,145XBVP,Analyser les besoins du client. Concevoir et développer les programmes et applications informatiques. Déterminer des mesures correctives. Rédiger une Spécification Technique de Besoin (STB). Établir un cahier des charges,
Architecte logiciel,146TRXD,Analyser les besoins d'un projet. Concevoir l'architecture d'un système d'information. Concevoir les solutions techniques. Définir les caractéristiques techniques du produit. Évaluer le résultat de ses actions,
Architecte logiciel,147BBLY,"Contrôler l'état d'avancement des travaux. Imprimer des documents techniques. Logiciels : ARCHICAD,SKETCHUP, AUTOCAD. Logiciels :ILLUSTRATOR,  PHOTOSHOP, INDESIGN. Organiser des réunions et des visites de chantier. Outils bureautiques. Renseigner un client. Réaliser un reporting. Réaliser une visite de chantier. Saisir des documents numériques. Techniques de numérisation. Techniques de communication",Capacité d'adaptation. Travail en équipe. Autonomie
Architecte logiciel,146XFZC,Logiciels de bureautique et DAO,Travail en équipe. Autonomie. Rigueur
Architecte logiciel,146WNDX,Concevoir un dossier technique de définition du projet. Logiciels de modélisation et simulation. Outils bureautiques. Élaborer des propositions techniques,Travail en équipe. Sens de l'organisation. Rigueur
Architecte logiciel,146TKYC,"Décliner la conception générale d'un projet architectural en plans et maquettes. Déterminer les modalités de chantier (coût, délais, mode constructif...). Maîtrise logiciel Adobe Photoshop. Maîtrise logiciel Autocad. Maîtrise logiciel Revit. Réaliser l'esquisse d'un projet de création ou d'aménagement d'un édifice ou d'un espace",Force de proposition. Autonomie. Rigueur
Architecte logiciel,146DCSC,"Diagnostiquer l'état de produits, de matériaux ou de constructions (conservation, dégradation etc.). Déterminer des mesures correctives. Localiser les éléments à contrôler sur un site. Logiciels d'architecte AUTOCAD,ARCHICAD. Logiciels Word, Excel,Pdf et Power Point. Planifier une intervention technique. Repérer et identifier des risques sanitaires et environnementaux. Réaliser des mesures de locaux et les calculs de surfaces. Réaliser des plans de locaux ou de lieux. Suivre et mettre à jour l'information technique, économique, réglementaire, .... Analyser les documents techniques du bâtiment. Conception et Dessin Assistés par Ordinateur (CAO/DAO). Concevoir et faire évoluer des prestations, des procédures techniques et opérationnelles d'intervention. Contrôler la conformité d'un produit. Contrôler la conformité du gros oeuvre. Coordonner l'activité d'une équipe. Droit de l'urbanisme et de la construction. Normes de la construction. Pathologies du bâtiment. Propriétés des matériaux de construction. Prospecter de nouveaux clients. Recenser les documents techniques du bâtiment. Réaliser un dossier de contrôle technique. Économie de la construction. Permis B",Réactivité. Travail en équipe. Sens de l'organisation
Architecte logiciel,7421574,,
Architecte logiciel,7420759,,
Architecte logiciel,7418679,,
Architecte logiciel,7384533,,
Architecte logiciel,7384357,,
Architecte logiciel,7371877,,
Architecte logiciel,7366096,,
Architecte logiciel,7365929,,
Architecte logiciel,7356967,,
Architecte logiciel,7311425,,
Architecte logiciel,7311337,,
Architecte logiciel,7310275,,
Architecte logiciel,7310067,,
Architecte logiciel,7280067,,
Architecte logiciel,7279889,,
Architecte logiciel,7276668,,
Architecte logiciel,7265978,,
Architecte logiciel,7265965,,
Architecte logiciel,7264569,,
Architecte logiciel,7263000,,
Architecte logiciel,7260754,,
Architecte logiciel,7218490,,
Architecte logiciel,7218461,,
Architecte logiciel,7144770,,
Architecte logiciel,7143833,,
Architecte logiciel,7128653,,
Architecte logiciel,7114849,,
Architecte logiciel,7093316,,
Architecte logiciel,7091533,,
Architecte logiciel,7090751,,
Architecte logiciel,7054049,,
Architecte logiciel,7004786,,
Architecte logiciel,7000909,,
Architecte logiciel,6925290,,
Architecte logiciel,6898077,,
Architecte logiciel,6897600,,
Architecte logiciel,6891187,,
Architecte logiciel,6888692,,
Architecte logiciel,6847952,,
Architecte logiciel,6811681,,
Architecte logiciel,6791288,,
Architecte logiciel,6784434,,
Architecte logiciel,6778530,,
Architecte logiciel,6686741,,
Architecte logiciel,6677965,,
Architecte logiciel,6624877,,
Architecte logiciel,6622823,,
Architecte logiciel,6619985,,
Architecte logiciel,6619982,,
Architecte logiciel,6597828,,
Architecte logiciel,6597682,,
Architecte logiciel,6588399,,
Architecte logiciel,6588199,,
Architecte logiciel,6586079,,
Architecte logiciel,6585624,,
Architecte logiciel,6572726,,
Architecte logiciel,6455952,,
Architecte logiciel,6426497,,
Architecte logiciel,6424164,,
Architecte logiciel,6348262,,
Architecte logiciel,6344383,,
Architecte logiciel,6220128,,
Architecte logiciel,6183674,,
Architecte logiciel,6167971,,
Architecte logiciel,6146513,,
Architecte logiciel,6145923,,
Architecte logiciel,6124467,,
Architecte logiciel,6036449,,
Architecte logiciel,6032188,,
Architecte logiciel,5983410,,
Architecte logiciel,5982224,,
Architecte logiciel,5981813,,
Architecte logiciel,5981320,,
Architecte logiciel,5945524,,
Architecte logiciel,5905523,,
Architecte logiciel,5897397,,
Architecte logiciel,5802888,,
Architecte logiciel,5802160,,
Architecte logiciel,5695005,,
Architecte logiciel,5690462,,
Architecte logiciel,5206926,,
Architecte logiciel,5116618,,
Architecte logiciel,5116410,,
Architecte logiciel,5116394,,
Architecte logiciel,4770005,,
Architecte logiciel,4648168,,
Architecte logiciel,4647094,,
Architecte logiciel,4641805,,
Architecte logiciel,4213279,,
Architecte logiciel,4183649,,
Architecte logiciel,3975757,,
Architecte logiciel,2509316,,
Architecte logiciel,0780586,,
Architecte logiciel,7281322,,
Architecte logiciel,6682900,,
Architecte logiciel,7454761,,
Architecte logiciel,7454661,,
Architecte logiciel,7453748,,
Architecte logiciel,7453584,,
Architecte logiciel,7453228,,
Architecte logiciel,7452839,,
Architecte logiciel,7379863,,
Architecte logiciel,7353183,,
Architecte logiciel,7341659,,
Architecte logiciel,7340440,,
Architecte logiciel,7339270,,
Architecte logiciel,6893427,,
Architecte logiciel,6891334,,
Architecte logiciel,6890627,,
Architecte logiciel,6890065,,
Architecte logiciel,6888763,,
Architecte logiciel,6787039,,
Architecte logiciel,6689183,,
Architecte logiciel,6584448,,
Architecte logiciel,6570194,,
Architecte logiciel,6456119,,
Architecte logiciel,6456110,,
Architecte logiciel,6456082,,
Architecte logiciel,6456038,,
Architecte logiciel,6454821,,
Architecte logiciel,6454777,,
Architecte logiciel,6454756,,
Architecte logiciel,6148612,,
Architecte logiciel,6138575,,
Architecte logiciel,6021692,,
Architecte logiciel,5527943,,
Architecte logiciel,5346995,,
Architecte logiciel,5346860,,
Architecte logiciel,5344061,,
Architecte logiciel,5343802,,
Architecte logiciel,5342175,,
Architecte logiciel,5208665,,
Architecte logiciel,5208393,,
Architecte logiciel,5207229,,
Architecte logiciel,5206656,,
Architecte logiciel,4905735,,
Architecte logiciel,4904561,,
Architecte logiciel,4648727,,
Architecte logiciel,4647970,,
Architecte logiciel,4646561,,
Architecte logiciel,4643294,,
Architecte logiciel,4642634,,
Architecte logiciel,4635211,,
Architecte logiciel,4111308,,
Architecte logiciel,3583264,,
Architecte logiciel,7143596,,
Architecte logiciel,6919836,,
Architecte logiciel,5946632,,
Architecte logiciel,5911732,,
Architecte logiciel,7003967,,
