metier,identifiant,competences,savoir-etre
Chef de projet multimédia,147GLQY,"Analyser et définir les besoins de l'entreprise, des utilisateurs en matière d'organisation et de systèmes d'information et de télécoms. Concevoir le schéma directeur à partir des orientations fixées par la direction et des besoins des services utilisateurs et superviser les modalités de mise en oeuvre. Coordonner les différentes étapes d'un projet. Piloter un projet. Procéder au choix de réalisation, de traitement en interne ou par sous-traitance et en contrôler la conformité de réalisation",Capacité d'adaptation. Autonomie. Sens de l'organisation
Chef de projet multimédia,145VSNN,Coordonner les différentes étapes d'un projet. Piloter un projet,Autonomie. Capacité de décision. Travail en équipe
Chef de projet multimédia,146WKNK,"Analyser et définir les besoins de l'entreprise, des utilisateurs en matière d'organisation et de systèmes d'information et de télécoms. Concevoir le schéma directeur à partir des orientations fixées par la direction et des besoins des services utilisateurs et superviser les modalités de mise en oeuvre. Coordonner les différentes étapes d'un projet. Piloter un projet. Procéder au choix de réalisation, de traitement en interne ou par sous-traitance et en contrôler la conformité de réalisation",
Chef de projet multimédia,146RRSV,"Management. Management. Office 365. Suite Google. Coordonner les différentes étapes d'un projet. Superviser un secteur/projet de déploiement (matériels, système, réseau, postes de travail, logiciels). Techniques de planification. Technologies informatiques. Citrix. VMware",Travail en équipe. Sens de la communication. Sens de l'organisation
Chef de projet multimédia,7427025,,
Chef de projet multimédia,7426731,,
Chef de projet multimédia,7426719,,
Chef de projet multimédia,7426473,,
Chef de projet multimédia,7424417,,
Chef de projet multimédia,7328082,,
Chef de projet multimédia,7326342,,
Chef de projet multimédia,7326247,,
Chef de projet multimédia,7326160,,
Chef de projet multimédia,7326119,,
Chef de projet multimédia,7326070,,
Chef de projet multimédia,7326054,,
Chef de projet multimédia,7325895,,
Chef de projet multimédia,7325752,,
Chef de projet multimédia,7325512,,
Chef de projet multimédia,7325251,,
Chef de projet multimédia,7325248,,
Chef de projet multimédia,7325247,,
Chef de projet multimédia,7325185,,
Chef de projet multimédia,7324799,,
Chef de projet multimédia,7324758,,
Chef de projet multimédia,7319064,,
Chef de projet multimédia,7318190,,
Chef de projet multimédia,7317235,,
Chef de projet multimédia,7315272,,
Chef de projet multimédia,7265689,,
Chef de projet multimédia,7241801,,
Chef de projet multimédia,7191464,,
Chef de projet multimédia,7191462,,
Chef de projet multimédia,7189063,,
Chef de projet multimédia,7174187,,
Chef de projet multimédia,7174063,,
Chef de projet multimédia,7174036,,
Chef de projet multimédia,7173426,,
Chef de projet multimédia,7173219,,
Chef de projet multimédia,7173119,,
Chef de projet multimédia,7172867,,
Chef de projet multimédia,7172796,,
Chef de projet multimédia,7170239,,
Chef de projet multimédia,7166211,,
Chef de projet multimédia,7166137,,
Chef de projet multimédia,7165876,,
Chef de projet multimédia,7165683,,
Chef de projet multimédia,7165650,,
Chef de projet multimédia,7165624,,
Chef de projet multimédia,7165374,,
