metier,identifiant,competences,savoir-etre
Testeur,147KLWF,Analyser des problèmes techniques. Analyser les besoins du client. Concevoir et développer les programmes et applications informatiques. Déterminer des mesures correctives. Déterminer les phases et procédures de tests techniques et fonctionnels de programmes et applications informatiques,Réactivité. Capacité de décision. Rigueur
Testeur,147JZHZ,Analyser des problèmes techniques. Analyser les besoins du client. Concevoir et développer les programmes et applications informatiques. Déterminer des mesures correctives. Déterminer les phases et procédures de tests techniques et fonctionnels de programmes et applications informatiques,Capacité d'adaptation. Travail en équipe. Autonomie
Testeur,147JBVL,,
Testeur,147JBDT,Analyser des problèmes techniques. Analyser les besoins du client. Concevoir et développer les programmes et applications informatiques. Déterminer des mesures correctives. Déterminer les phases et procédures de tests techniques et fonctionnels de programmes et applications informatiques. SalonduNumerique,
Testeur,147HZSG,Analyser des problèmes techniques. Analyser les besoins du client. Concevoir et développer les programmes et applications informatiques. Déterminer des mesures correctives. Déterminer les phases et procédures de tests techniques et fonctionnels de programmes et applications informatiques. SalonduNumerique,
Testeur,147GXVG,Analyser des problèmes techniques. Analyser les besoins du client. Concevoir et développer les programmes et applications informatiques. Déterminer des mesures correctives. Déterminer les phases et procédures de tests techniques et fonctionnels de programmes et applications informatiques,Autonomie. Sens de l'organisation. Rigueur
Testeur,147GJZF,Utiliser un engin nécessitant une habilitation. Conduite d'engins de type chariots / nacelle. Logistique. Suivi administratif  (des formations). Sécurité au travail,Travail en équipe. Sens de la communication. Rigueur
Testeur,147GJLN,"Analyser des problèmes techniques. Concevoir et développer les programmes et applications informatiques. Déterminer des mesures correctives. Méthode AGILE. Méthodologie SAFe. Méthodologie Scrum. Programmation informatique. Réaliser la mise en production de solution logicielle dans un environnement d'exploitation. Système KANBAN. Systèmes d'exploitation informatique. Sélectionner, assembler et intégrer des composants informatiques (progiciels, bases de données, développements spécifiques, ...)",Capacité d'adaptation. Sens de la communication. Autonomie
Testeur,147GFYT,Analyser des problèmes techniques. Analyser les besoins du client. Concevoir et développer les programmes et applications informatiques. Déterminer des mesures correctives. Déterminer les phases et procédures de tests techniques et fonctionnels de programmes et applications informatiques. Test  Analyst H/F,
Testeur,147FPND,Logiciels de statistiques. Marketing / Mercatique. Techniques pédagogiques. Toxicologie. Utilisation d'appareils de distillation (alambic),
Testeur,147DVXQ,Analyser des problèmes techniques. Analyser les besoins du client. Concevoir et développer les programmes et applications informatiques. Déterminer des mesures correctives. Déterminer les phases et procédures de tests techniques et fonctionnels de programmes et applications informatiques,Sens de la communication. Autonomie. Rigueur
Testeur,147CJLR,Analyser des problèmes techniques. Analyser les besoins du client. Déterminer des mesures correctives. Déterminer les phases et procédures de tests techniques et fonctionnels de programmes et applications informatiques,Curiosité. Prise de recul. Sens de la communication
Testeur,147CJGM,"Contrôler la conformité d'un produit aux différentes étapes de fabrication. Définir les données de programmation. Effectuer la mise en service d'un équipement. Identifier des non-conformités. Identifier les réglages des équipements et outillages. Monter, démonter les pièces, outillages de machines. Réaliser des essais et tests de fonctionnement. Régler les paramètres des machines et des équipements",
Testeur,147CFWG,,Sens de l'organisation. Rigueur
Testeur,147CDJZ,Analyser des problèmes techniques. Analyser les besoins du client. Concevoir et développer les programmes et applications informatiques. Déterminer des mesures correctives. Déterminer les phases et procédures de tests techniques et fonctionnels de programmes et applications informatiques,
Testeur,147BFQY,Analyser des problèmes techniques. Analyser les besoins du client. Concevoir et développer les programmes et applications informatiques. Déterminer des mesures correctives. Déterminer les phases et procédures de tests techniques et fonctionnels de programmes et applications informatiques,Capacité d'adaptation. Sens de la communication. Sens de l'organisation
Testeur,147BFFY,Analyser des problèmes techniques. Analyser les besoins du client. Concevoir et développer les programmes et applications informatiques. Déterminer des mesures correctives. Déterminer les phases et procédures de tests techniques et fonctionnels de programmes et applications informatiques. SalonduNumérique,
Testeur,146ZYXK,"Microsoft, SQL Server. Outil de gestion de temps et de planning. Analyser des problèmes techniques. Analyser les besoins du client. Concevoir et développer les programmes et applications informatiques. Déterminer des mesures correctives. Déterminer les phases et procédures de tests techniques et fonctionnels de programmes et applications informatiques. JIRA",Capacité d'adaptation. Autonomie. Sens de l'organisation
Testeur,146ZHPF,"Contrôler l'état d'un échantillon de laboratoire. Contrôler la conformité d'un équipement de laboratoire. Préparer des échantillons et réaliser le montage de tests et d'essais selon un protocole. Relever les données et les consigner dans les cahiers de laboratoire, les bases de données, les registres, les comptes rendus. Réaliser les mesures et les analyses, identifier des non-conformités et réaliser des ajustements techniques",
Testeur,146YPHF,"Jira, Testlink. Python, Java, Javascript. Analyser des problèmes techniques. Analyser les besoins du client. Concevoir et développer les programmes et applications informatiques. Déterminer des mesures correctives. Déterminer les phases et procédures de tests techniques et fonctionnels de programmes et applications informatiques. Sélénium, Squash TM",Persévérance. Sens de la communication. Autonomie
Testeur,146YNSQ,Analyser des problèmes techniques. Analyser les besoins du client. Concevoir et développer les programmes et applications informatiques. Déterminer des mesures correctives. Établir un cahier des charges,
Testeur,146YFPF,,
Testeur,146YDPV,"Concevoir des procédures de tests. Renseigner les supports de suivi d'intervention et rédiger les procès-verbaux (essais, contrôles, ...). Simuler les fonctionnalités d'un appareil. Sélectionner le matériel de contrôle ou d'essais et vérifier sa conformité. Vérifier le fonctionnement d'un appareil",
Testeur,146XYLC,"Algorithmique. Analyser des problèmes techniques. Analyser les besoins du client. Concevoir et développer les programmes et applications informatiques. Déterminer des mesures correctives. Déterminer les phases et procédures de tests techniques et fonctionnels de programmes et applications informatiques. Rédiger une Spécification Technique de Besoin (STB). Systèmes d'exploitation informatique. Traiter l'information (collecter, classer et mettre à jour)",Travail en équipe. Sens de la communication. Autonomie
Testeur,146XQZK,Analyser des problèmes techniques. Déterminer des mesures correctives. Déterminer les phases et procédures de tests techniques et fonctionnels de programmes et applications informatiques. gestion de projet AGILE,Sens de la communication. Sens de l'organisation. Rigueur
Testeur,146WLPN,Analyser des problèmes techniques. Analyser les besoins du client. Concevoir et développer les programmes et applications informatiques. Déterminer des mesures correctives. Déterminer les phases et procédures de tests techniques et fonctionnels de programmes et applications informatiques,
Testeur,146VXPT,analyser des problèmes techniques. Déterminer des mesures correctives. Déterminer les phases et procédures de tests techniques et fonctionnels de programmes et applications informatiques. Méthode AGILE. Syntaxe et orthographe en français. Langage informatique CSS. Langage informatique HTML. Langage informatique PHP,Travail en équipe. Sens de l'organisation. Rigueur
Testeur,146VWNL,Analyser des problèmes techniques. Analyser les besoins du client. Concevoir et développer les programmes et applications informatiques. Déterminer des mesures correctives. Déterminer les phases et procédures de tests techniques et fonctionnels de programmes et applications informatiques,
Testeur,146VVWH,Analyser des problèmes techniques. Analyser les besoins du client. Concevoir et développer les programmes et applications informatiques. Déterminer des mesures correctives. Déterminer les phases et procédures de tests techniques et fonctionnels de programmes et applications informatiques,Persévérance. Autonomie. Rigueur
Testeur,146VKJB,"habilitation électrique. Concevoir des procédures de tests. Renseigner les supports de suivi d'intervention et rédiger les procès-verbaux (essais, contrôles, ...). Simuler les fonctionnalités d'un appareil. Sélectionner le matériel de contrôle ou d'essais et vérifier sa conformité. Vérifier le fonctionnement d'un appareil",Travail en équipe. Autonomie. Rigueur
Testeur,146SXGL,Analyser des problèmes techniques. Analyser les besoins du client. Concevoir et développer les programmes et applications informatiques. Déterminer des mesures correctives. Déterminer les phases et procédures de tests techniques et fonctionnels de programmes et applications informatiques,Force de proposition. Autonomie. Rigueur
Testeur,146RWGB,Analyser des problèmes techniques. Analyser les besoins du client. Concevoir et développer les programmes et applications informatiques. Déterminer des mesures correctives. Déterminer les phases et procédures de tests techniques et fonctionnels de programmes et applications informatiques. Analyser des problèmes techniques. Analyser les besoins du client. Déterminer des mesures correctives,
